Date,Year,Month,Day,Country,State_Province,Confirmed_Cases,Deaths,Recovered,Active_Cases,Tests_Conducted,Vaccinated_Percentage,New_Cases_Today,New_Deaths_Today,Population_Millions,Mortality_Rate_Percent,Recovery_Rate_Percent
13-02-2020,2020,February,13,Italy,N/A,2291,44,2154,93,24337,0,146,1,313.81,1.92,94.02
14-02-2020,2020,February,14,France,N/A,22,0,20,2,193,3.88,0,0,233.54,0,90.91
15-02-2020,2020,February,15,Indonesia,N/A,2155,35,1846,274,29662,0.35,149,0,264.18,1.62,85.66
16-02-2020,2020,February,16,Italy,N/A,2250,44,1618,588,44135,0,128,2,228.5,1.96,71.91
17-02-2020,2020,February,17,Canada,N/A,2240,63,1801,376,30727,1.65,158,2,1088.87,2.81,80.4
18-02-2020,2020,February,18,Pakistan,N/A,2689,23,2281,385,28808,0.39,201,0,79.87,0.86,84.83
19-02-2020,2020,February,19,France,N/A,1571,28,1394,149,29373,8.96,97,1,338.28,1.78,88.73
20-02-2020,2020,February,20,Spain,N/A,2635,76,2243,316,22212,6.3,212,2,940.53,2.88,85.12
21-02-2020,2020,February,21,USA,N/A,1580,40,1227,313,27248,3.09,121,0,1098.75,2.53,77.66
22-02-2020,2020,February,22,Canada,N/A,1604,16,1177,411,8369,6.33,23,0,1265.92,1,73.38
23-02-2020,2020,February,23,South Africa,N/A,396,6,367,23,3749,10.59,21,0,1179.09,1.52,92.68
24-02-2020,2020,February,24,Indonesia,N/A,2841,46,2684,111,35197,6.69,60,2,181.3,1.62,94.47
25-02-2020,2020,February,25,Colombia,N/A,1954,29,1708,217,15047,0,163,1,1362.38,1.48,87.41
26-02-2020,2020,February,26,Bangladesh,N/A,2473,22,1903,548,18931,0,114,1,966.86,0.89,76.95
27-02-2020,2020,February,27,Spain,N/A,48,0,41,7,608,0,1,0,4.63,0,85.42
28-02-2020,2020,February,28,Russia,N/A,2224,22,1762,440,27283,4.95,43,1,648.09,0.99,79.23
29-02-2020,2020,February,29,South Korea,N/A,2900,68,2052,780,52223,0,77,1,147.71,2.34,70.76
1/3/2020,2020,March,1,Colombia,N/A,1713,17,1339,357,11642,0.96,93,1,951.06,0.99,78.17
2/3/2020,2020,March,2,Brazil,N/A,1886,44,1583,259,26023,12.08,18,3,473.09,2.33,83.93
3/3/2020,2020,March,3,South Africa,N/A,2666,79,2269,318,22816,10.79,98,3,262.01,2.96,85.11
4/3/2020,2020,March,4,Poland,N/A,2019,15,1614,390,39455,4.68,110,0,361.81,0.74,79.94
5/3/2020,2020,March,5,Poland,N/A,3027,55,2479,493,53210,4.11,96,3,1031.01,1.82,81.9
6/3/2020,2020,March,6,Japan,N/A,2137,41,1578,518,26107,0,78,2,471.91,1.92,73.84
7/3/2020,2020,March,7,Iran,N/A,3488,77,2518,893,24703,11.24,341,2,1112.21,2.21,72.19
8/3/2020,2020,March,8,Indonesia,N/A,2419,68,2292,59,19533,4.56,153,3,1010.51,2.81,94.75
9/3/2020,2020,March,9,Italy,N/A,3042,77,2271,694,25964,4.84,197,4,443.36,2.53,74.65
10/3/2020,2020,March,10,Iran,N/A,3081,44,2513,524,29333,0,155,3,325.87,1.43,81.56
11/3/2020,2020,March,11,India,Telangana,3698,76,2696,926,70622,0,75,5,195.84,2.06,72.9
12/3/2020,2020,March,12,Australia,N/A,2533,48,2404,81,41252,6.69,175,3,201.24,1.89,94.91
13-03-2020,2020,March,13,Russia,N/A,4139,56,3747,336,27563,3.45,313,2,210.73,1.35,90.53
14-03-2020,2020,March,14,Australia,N/A,3040,60,2557,423,47857,0,223,3,1342.75,1.97,84.11
15-03-2020,2020,March,15,Italy,N/A,807,23,595,189,11131,8.96,79,1,26.34,2.85,73.73
16-03-2020,2020,March,16,China,N/A,2622,73,2298,251,19109,5.13,229,5,594.36,2.78,87.64
17-03-2020,2020,March,17,Canada,N/A,3258,84,2382,792,61291,0.89,166,6,828.19,2.58,73.11
18-03-2020,2020,March,18,Turkey,N/A,3206,79,2728,399,21525,0,227,3,1292.22,2.46,85.09
19-03-2020,2020,March,19,Germany,N/A,3307,35,2688,584,23522,0,164,0,587.08,1.06,81.28
20-03-2020,2020,March,20,Poland,N/A,3001,31,2260,710,38195,0,147,1,780.67,1.03,75.31
21-03-2020,2020,March,21,Argentina,N/A,4118,97,3098,923,76062,1.9,158,3,52.13,2.36,75.23
22-03-2020,2020,March,22,Mexico,N/A,2219,36,1844,339,25765,2.15,166,0,218.18,1.62,83.1
23-03-2020,2020,March,23,India,West Bengal,1449,22,1023,404,10638,0,99,1,38.91,1.52,70.6
24-03-2020,2020,March,24,Colombia,N/A,1812,36,1422,354,24537,0,95,2,1009.42,1.99,78.48
25-03-2020,2020,March,25,Brazil,N/A,3712,95,2966,651,55758,0,136,2,1254.97,2.56,79.9
26-03-2020,2020,March,26,Germany,N/A,4143,33,3807,303,60669,5.55,250,1,875.04,0.8,91.89
27-03-2020,2020,March,27,China,N/A,2009,23,1719,267,22382,0,16,1,412.96,1.14,85.56
28-03-2020,2020,March,28,South Africa,N/A,4389,73,3272,1044,53860,0,368,3,978.69,1.66,74.55
29-03-2020,2020,March,29,Ukraine,N/A,2563,75,2130,358,19415,0,44,4,776.3,2.93,83.11
30-03-2020,2020,March,30,Ukraine,N/A,3682,31,2820,831,33128,1.68,117,2,886.7,0.84,76.59
31-03-2020,2020,March,31,Turkey,N/A,1087,6,806,275,17468,0,58,0,344.24,0.55,74.15
1/4/2020,2020,April,1,Turkey,N/A,3265,75,2783,407,62817,7.86,197,3,189.87,2.3,85.24
2/4/2020,2020,April,2,Poland,N/A,2739,47,2325,367,27427,0,117,2,106.12,1.72,84.88
3/4/2020,2020,April,3,Indonesia,N/A,4023,66,2892,1065,24807,0,280,2,1346.98,1.64,71.89
4/4/2020,2020,April,4,Indonesia,N/A,2302,42,2113,147,36793,4.98,140,3,969.49,1.82,91.79
5/4/2020,2020,April,5,France,N/A,3385,73,2406,906,46794,7.04,37,3,169.61,2.16,71.08
6/4/2020,2020,April,6,Germany,N/A,4420,126,3618,676,79253,0.85,179,8,1160.65,2.85,81.86
7/4/2020,2020,April,7,Indonesia,N/A,1699,28,1565,106,22008,9.01,14,0,801.83,1.65,92.11
8/4/2020,2020,April,8,Poland,N/A,3673,75,3384,214,52295,2.94,189,5,1314.76,2.04,92.13
9/4/2020,2020,April,9,Brazil,N/A,2754,32,2202,520,17558,0,153,0,1025.45,1.16,79.96
10/4/2020,2020,April,10,Indonesia,N/A,2284,28,1732,524,12862,0,25,0,951.83,1.23,75.83
11/4/2020,2020,April,11,Japan,N/A,4839,131,4114,594,89791,0,227,4,1173.12,2.71,85.02
12/4/2020,2020,April,12,Argentina,N/A,2748,25,2075,648,21424,14.32,102,1,81.92,0.91,75.51
13-04-2020,2020,April,13,Australia,N/A,2933,53,2243,637,37333,0,156,2,1256.51,1.81,76.47
14-04-2020,2020,April,14,Brazil,N/A,2238,44,1891,303,14261,0,95,2,182.19,1.97,84.5
15-04-2020,2020,April,15,Spain,N/A,3718,86,2864,768,32680,1.16,189,3,1347.01,2.31,77.03
16-04-2020,2020,April,16,Mexico,N/A,2986,51,2448,487,41463,3.24,120,3,949.54,1.71,81.98
17-04-2020,2020,April,17,South Korea,N/A,3728,80,3402,246,67139,0.34,247,4,976.76,2.15,91.26
18-04-2020,2020,April,18,Iran,N/A,2837,76,2667,94,33993,0,111,4,1272.27,2.68,94.01
19-04-2020,2020,April,19,Pakistan,N/A,3181,16,2454,711,45341,4.18,160,0,364.47,0.5,77.15
20-04-2020,2020,April,20,Poland,N/A,2497,13,2017,467,43951,3.15,65,0,1055.42,0.52,80.78
21-04-2020,2020,April,21,Argentina,N/A,2698,33,2366,299,16215,4.26,37,2,869.66,1.22,87.69
22-04-2020,2020,April,22,Pakistan,N/A,2843,15,2220,608,35053,0,183,1,624.82,0.53,78.09
23-04-2020,2020,April,23,Canada,N/A,3148,82,2618,448,54739,2.02,209,3,1082.18,2.6,83.16
24-04-2020,2020,April,24,South Africa,N/A,3049,26,2463,560,58401,6.64,265,0,557.23,0.85,80.78
25-04-2020,2020,April,25,Ukraine,N/A,1297,29,1149,119,10382,0,75,1,788.29,2.24,88.59
26-04-2020,2020,April,26,Japan,N/A,3102,82,2773,247,51380,2.18,183,5,877.08,2.64,89.39
27-04-2020,2020,April,27,Japan,N/A,3937,31,2879,1027,60171,4.8,89,1,688.74,0.79,73.13
28-04-2020,2020,April,28,Argentina,N/A,2149,27,1748,374,11119,5.18,100,0,672.43,1.26,81.34
29-04-2020,2020,April,29,France,N/A,4440,108,3151,1181,54201,0,198,4,1381.34,2.43,70.97
30-04-2020,2020,April,30,Australia,N/A,5179,98,3637,1444,51256,2.29,168,4,491.53,1.89,70.23
1/5/2020,2020,May,1,India,Bihar,2593,49,2262,282,44103,0,104,2,147.29,1.89,87.23
2/5/2020,2020,May,2,China,N/A,4515,56,4216,243,86734,9.36,339,3,857.55,1.24,93.38
3/5/2020,2020,May,3,Germany,N/A,3669,90,3009,570,20587,12.34,167,2,1015.03,2.45,82.01
4/5/2020,2020,May,4,Japan,N/A,3212,33,3032,147,32291,0.06,194,1,922.53,1.03,94.4
5/5/2020,2020,May,5,Bangladesh,N/A,2062,35,1485,542,22782,8.49,86,0,285.81,1.7,72.02
6/5/2020,2020,May,6,Germany,N/A,4256,100,3431,725,43364,1.97,79,9,1015.64,2.35,80.62
7/5/2020,2020,May,7,Russia,N/A,1889,52,1421,416,27096,0,146,3,185.06,2.75,75.22
8/5/2020,2020,May,8,Italy,N/A,4586,65,3797,724,51342,0,219,2,137.25,1.42,82.8
9/5/2020,2020,May,9,Australia,N/A,4550,33,3926,591,44054,11.6,322,1,13.63,0.73,86.29
10/5/2020,2020,May,10,India,West Bengal,1627,17,1498,112,18922,10.33,62,0,937.48,1.04,92.07
11/5/2020,2020,May,11,Spain,N/A,2034,46,1508,480,15284,0.48,88,4,1181.99,2.26,74.14
12/5/2020,2020,May,12,Japan,N/A,4096,75,2902,1119,81102,1.83,178,3,73.32,1.83,70.85
13-05-2020,2020,May,13,India,Kerala,3601,63,2558,980,26017,2.26,246,3,637.18,1.75,71.04
14-05-2020,2020,May,14,Australia,N/A,1520,12,1114,394,10872,4.14,77,0,228.17,0.79,73.29
15-05-2020,2020,May,15,Turkey,N/A,3364,89,2503,772,51769,0,166,8,865.37,2.65,74.41
16-05-2020,2020,May,16,Italy,N/A,3221,80,2994,147,45123,5.26,215,6,488.65,2.48,92.95
17-05-2020,2020,May,17,USA,N/A,3846,94,3237,515,61831,4.38,173,6,458.52,2.44,84.17
18-05-2020,2020,May,18,France,N/A,4659,60,4273,326,49548,2.07,324,1,460.41,1.29,91.71
19-05-2020,2020,May,19,India,Haryana,4075,76,3460,539,53730,12.92,179,3,822.3,1.87,84.91
20-05-2020,2020,May,20,Italy,N/A,4093,59,3748,286,52334,10.47,167,2,478.41,1.44,91.57
21-05-2020,2020,May,21,Japan,N/A,3135,53,2503,579,41511,0,210,3,730.21,1.69,79.84
22-05-2020,2020,May,22,Turkey,N/A,3681,103,2632,946,69999,4.25,128,4,680.73,2.8,71.5
23-05-2020,2020,May,23,Mexico,N/A,5912,108,4997,807,37508,4.25,210,8,1367.44,1.83,84.52
24-05-2020,2020,May,24,Ukraine,N/A,3091,77,2306,708,29145,3.2,119,4,1284.94,2.49,74.6
25-05-2020,2020,May,25,South Africa,N/A,4486,27,3850,609,86449,2.52,332,1,1238,0.6,85.82
26-05-2020,2020,May,26,Spain,N/A,3539,49,3278,212,58567,8.72,62,2,423.58,1.38,92.63
27-05-2020,2020,May,27,Poland,N/A,3306,24,2829,453,38933,9.18,86,1,1031.89,0.73,85.57
28-05-2020,2020,May,28,USA,N/A,5075,64,3844,1167,41070,0,119,4,885.19,1.26,75.74
29-05-2020,2020,May,29,Ukraine,N/A,3338,74,2674,590,38129,2.97,232,5,1387.77,2.22,80.11
30-05-2020,2020,May,30,Canada,N/A,3698,43,2662,993,23241,0.33,103,1,497.64,1.16,71.98
31-05-2020,2020,May,31,Russia,N/A,4579,30,3938,611,41518,1.95,383,2,323.93,0.66,86
1/6/2020,2020,June,1,Brazil,N/A,4545,73,3560,912,62298,0,346,4,239.5,1.61,78.33
2/6/2020,2020,June,2,Iran,N/A,3672,50,3180,442,62173,0,103,2,1389.48,1.36,86.6
3/6/2020,2020,June,3,Italy,N/A,3020,22,2308,690,50791,7.03,169,1,710.07,0.73,76.42
4/6/2020,2020,June,4,South Africa,N/A,2443,17,2282,144,32509,0,80,0,626.64,0.7,93.41
5/6/2020,2020,June,5,Russia,N/A,3797,56,3133,608,41606,10.13,356,3,944.35,1.47,82.51
6/6/2020,2020,June,6,Iran,N/A,4091,51,2946,1094,45183,4.75,248,1,485.19,1.25,72.01
7/6/2020,2020,June,7,South Africa,N/A,4105,69,3195,841,57862,3.76,162,4,1333.96,1.68,77.83
8/6/2020,2020,June,8,France,N/A,2854,16,2094,744,55500,0,171,0,606.06,0.56,73.37
9/6/2020,2020,June,9,South Korea,N/A,3707,20,3153,534,38819,0.91,270,0,269.3,0.54,85.06
10/6/2020,2020,June,10,Ukraine,N/A,5312,58,3907,1347,36231,1.53,200,2,969.33,1.09,73.55
11/6/2020,2020,June,11,India,Karnataka,2258,23,1678,557,33499,6.37,134,1,1109.14,1.02,74.31
12/6/2020,2020,June,12,Brazil,N/A,3097,72,2763,262,15997,0,119,0,27.85,2.32,89.22
13-06-2020,2020,June,13,Australia,N/A,4669,95,3645,929,81775,7.25,121,5,91.4,2.03,78.07
14-06-2020,2020,June,14,Russia,N/A,2582,45,1979,558,18689,0,166,1,1135.15,1.74,76.65
15-06-2020,2020,June,15,South Africa,N/A,4501,37,3265,1199,66976,8.45,207,1,1302.52,0.82,72.54
16-06-2020,2020,June,16,Italy,N/A,5455,149,4686,620,77510,0.31,276,5,211.09,2.73,85.9
17-06-2020,2020,June,17,Japan,N/A,4832,34,4247,551,29384,4.04,111,1,490.23,0.7,87.89
18-06-2020,2020,June,18,Australia,N/A,2746,70,1969,707,31206,0,138,2,1258.56,2.55,71.7
19-06-2020,2020,June,19,Italy,N/A,3943,39,2879,1025,56089,9.96,247,2,742.89,0.99,73.02
20-06-2020,2020,June,20,Pakistan,N/A,2922,22,2400,500,54946,1.57,284,1,220.14,0.75,82.14
21-06-2020,2020,June,21,Iran,N/A,3806,54,3075,677,44115,2.39,234,2,337.73,1.42,80.79
22-06-2020,2020,June,22,Turkey,N/A,3212,95,2787,330,31329,13.67,138,5,762.08,2.96,86.77
23-06-2020,2020,June,23,Turkey,N/A,3974,92,3553,329,58983,11.52,213,2,1378.55,2.32,89.41
24-06-2020,2020,June,24,Argentina,N/A,4699,104,3397,1198,91522,5,122,5,479.99,2.21,72.29
25-06-2020,2020,June,25,Argentina,N/A,5461,67,4594,800,83735,8.9,308,4,1065.81,1.23,84.12
26-06-2020,2020,June,26,Australia,N/A,4273,100,3932,241,39177,0,234,4,920.93,2.34,92.02
27-06-2020,2020,June,27,Ukraine,N/A,5095,49,4019,1027,85376,5.53,241,2,1065.63,0.96,78.88
28-06-2020,2020,June,28,Argentina,N/A,4517,107,4112,298,54451,7.57,129,5,540.14,2.37,91.03
29-06-2020,2020,June,29,Russia,N/A,4216,62,3386,768,65070,5.29,309,2,131.09,1.47,80.31
30-06-2020,2020,June,30,Colombia,N/A,3969,30,3001,938,61694,9,196,1,839.52,0.76,75.61
1/7/2020,2020,July,1,Bangladesh,N/A,4277,29,3056,1192,42828,0.88,273,2,1104.27,0.68,71.45
2/7/2020,2020,July,2,Bangladesh,N/A,2602,41,1879,682,21620,2.69,208,2,1397.69,1.58,72.21
3/7/2020,2020,July,3,Argentina,N/A,3010,74,2196,740,33557,12.95,128,5,801.05,2.46,72.96
4/7/2020,2020,July,4,Mexico,N/A,5521,50,4831,640,76118,0,461,3,1301.53,0.91,87.5
5/7/2020,2020,July,5,Bangladesh,N/A,5086,49,4580,457,60385,2.75,141,2,113.76,0.96,90.05
6/7/2020,2020,July,6,Germany,N/A,4403,73,3096,1234,40688,0,136,2,1102.19,1.66,70.32
7/7/2020,2020,July,7,Iran,N/A,4379,106,3136,1137,53921,0,6,7,486.93,2.42,71.61
8/7/2020,2020,July,8,Australia,N/A,4790,30,3854,906,42642,6.36,315,0,278.14,0.63,80.46
9/7/2020,2020,July,9,Poland,N/A,3815,111,2845,859,20335,0,144,9,125.29,2.91,74.57
10/7/2020,2020,July,10,Argentina,N/A,4243,112,3736,395,25521,17.14,244,9,115.33,2.64,88.05
11/7/2020,2020,July,11,France,N/A,3260,70,2458,732,21070,9.59,154,5,1049.25,2.15,75.4
12/7/2020,2020,July,12,Japan,N/A,4217,69,3006,1142,70821,0.22,156,2,231.42,1.64,71.28
13-07-2020,2020,July,13,Russia,N/A,3598,96,3309,193,64975,12,158,1,1379,2.67,91.97
14-07-2020,2020,July,14,Indonesia,N/A,4484,78,3257,1149,66595,3.51,185,5,1086.08,1.74,72.64
15-07-2020,2020,July,15,Bangladesh,N/A,3023,42,2688,293,27650,1.36,214,0,274.98,1.39,88.92
16-07-2020,2020,July,16,Canada,N/A,3021,75,2353,593,53948,4.53,135,4,1376.95,2.48,77.89
17-07-2020,2020,July,17,India,Maharashtra,3990,101,3105,784,67745,2.35,226,3,448.21,2.53,77.82
18-07-2020,2020,July,18,India,Bihar,3629,56,2687,886,18831,6.12,267,5,1007.38,1.54,74.04
19-07-2020,2020,July,19,USA,N/A,4811,64,3724,1023,90317,0,268,2,1383.3,1.33,77.41
20-07-2020,2020,July,20,USA,N/A,3509,60,3182,267,35188,10.55,213,1,1156.54,1.71,90.68
21-07-2020,2020,July,21,India,Kerala,3410,80,2942,388,48810,0,238,3,660.33,2.35,86.28
22-07-2020,2020,July,22,Australia,N/A,3227,16,2808,403,24225,5.55,217,0,302.53,0.5,87.02
23-07-2020,2020,July,23,Australia,N/A,5649,151,5036,462,95054,0,145,10,1270.17,2.67,89.15
24-07-2020,2020,July,24,Colombia,N/A,3372,35,2682,655,23377,0,256,1,671.22,1.04,79.54
25-07-2020,2020,July,25,Indonesia,N/A,4241,52,3934,255,69168,6.23,287,2,394.85,1.23,92.76
26-07-2020,2020,July,26,Australia,N/A,2332,15,1785,532,13273,2.83,37,0,1154.52,0.64,76.54
27-07-2020,2020,July,27,Turkey,N/A,3286,20,3041,225,58438,0,226,1,1249.33,0.61,92.54
28-07-2020,2020,July,28,Colombia,N/A,4611,72,3536,1003,77637,4.75,402,4,353.98,1.56,76.69
29-07-2020,2020,July,29,UK,N/A,2763,76,2396,291,48184,5.39,148,5,724.91,2.75,86.72
30-07-2020,2020,July,30,Australia,N/A,2771,25,2057,689,53263,3.67,217,1,895.81,0.9,74.23
31-07-2020,2020,July,31,Colombia,N/A,2933,50,2531,352,56483,4.39,233,3,709.27,1.7,86.29
1/8/2020,2020,August,1,Colombia,N/A,4192,25,3567,600,78016,3.18,194,0,631.2,0.6,85.09
2/8/2020,2020,August,2,South Korea,N/A,2815,33,2116,666,35887,3.86,123,1,1123.82,1.17,75.17
3/8/2020,2020,August,3,Indonesia,N/A,3100,37,2802,261,28732,0,163,2,1231.93,1.19,90.39
4/8/2020,2020,August,4,Colombia,N/A,4065,121,2979,965,37076,9.7,91,1,576.02,2.98,73.28
5/8/2020,2020,August,5,Italy,N/A,3092,38,2719,335,59708,8.52,197,2,3.94,1.23,87.94
6/8/2020,2020,August,6,South Korea,N/A,3724,93,3223,408,23775,7.24,270,8,1260.55,2.5,86.55
7/8/2020,2020,August,7,Japan,N/A,4723,102,4107,514,49255,1.13,226,5,890.9,2.16,86.96
8/8/2020,2020,August,8,Argentina,N/A,4520,82,4100,338,89807,0,276,5,745.96,1.81,90.71
9/8/2020,2020,August,9,China,N/A,5650,45,4744,861,57333,1.99,379,3,1184,0.8,83.96
9/7/2001,2020,August,10,Argentina,N/A,3291,61,3012,218,45594,9.86,127,1,630.72,1.85,91.52
9/8/2002,2020,August,11,Japan,N/A,3573,69,2832,672,50079,8.51,252,5,525,1.93,79.26
8/7/2000,2020,August,12,Poland,N/A,3872,93,3626,153,39093,0,11,5,10.39,2.4,93.65
13-08-2020,2020,August,13,Australia,N/A,3558,78,3029,451,37248,0.93,312,3,197.63,2.19,85.13
14-08-2020,2020,August,14,UK,N/A,2654,27,2471,156,29757,5.01,47,0,206.74,1.02,93.1
15-08-2020,2020,August,15,Turkey,N/A,4005,115,3117,773,73395,3.06,294,6,1377.63,2.87,77.83
16-08-2020,2020,August,16,South Korea,N/A,2651,77,2368,206,52229,6.21,272,1,236.5,2.9,89.32
17-08-2020,2020,August,17,Turkey,N/A,3501,40,2621,840,20532,10.72,86,1,1353.02,1.14,74.86
18-08-2020,2020,August,18,Germany,N/A,2941,88,2169,684,50736,5.43,184,3,1028.67,2.99,73.75
19-08-2020,2020,August,19,Pakistan,N/A,4864,48,3885,931,27198,14.41,500,0,319.62,0.99,79.87
20-08-2020,2020,August,20,Turkey,N/A,2454,14,2175,265,32490,10.35,130,0,654.03,0.57,88.63
21-08-2020,2020,August,21,Japan,N/A,3474,60,2694,720,42977,4.8,359,4,618.27,1.73,77.55
22-08-2020,2020,August,22,China,N/A,3969,108,3230,631,46246,8.05,318,9,1129.42,2.72,81.38
23-08-2020,2020,August,23,Brazil,N/A,4304,68,3924,312,79177,3.94,266,0,877.6,1.58,91.17
24-08-2020,2020,August,24,Colombia,N/A,4066,93,3550,423,28529,2.78,124,2,1126.41,2.29,87.31
25-08-2020,2020,August,25,Poland,N/A,4457,132,3343,982,88782,13.37,211,5,886.44,2.96,75.01
26-08-2020,2020,August,26,Australia,N/A,4569,98,4073,398,80820,1.79,158,5,683.19,2.14,89.14
27-08-2020,2020,August,27,Canada,N/A,4281,54,3584,643,61994,0,361,3,9.52,1.26,83.72
28-08-2020,2020,August,28,Bangladesh,N/A,2023,35,1817,171,31571,5.87,36,1,326.11,1.73,89.82
29-08-2020,2020,August,29,Germany,N/A,2306,26,1626,654,31704,1.03,123,1,307.76,1.13,70.51
30-08-2020,2020,August,30,South Korea,N/A,2696,21,2486,189,33824,10.86,252,0,875.07,0.78,92.21
31-08-2020,2020,August,31,South Africa,N/A,4147,45,3217,885,38772,15.95,123,2,1283.59,1.09,77.57
1/9/2020,2020,September,1,Italy,N/A,3642,30,3122,490,21178,0,122,2,1.19,0.82,85.72
2/9/2020,2020,September,2,Pakistan,N/A,4290,111,3007,1172,37333,0,140,8,143.55,2.59,70.09
3/9/2020,2020,September,3,India,Punjab,4263,105,3934,224,49055,2.48,193,6,1349.75,2.46,92.28
4/9/2020,2020,September,4,UK,N/A,5011,109,3681,1221,44164,5.49,233,5,390.54,2.18,73.46
5/9/2020,2020,September,5,China,N/A,3737,28,3346,363,54792,5.95,176,1,1339.56,0.75,89.54
6/9/2020,2020,September,6,Spain,N/A,3194,77,2238,879,57122,4.67,173,1,582.7,2.41,70.07
