Record_ID,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,Temperature_C,Humidity_%,Wind_Speed_kmph
64,10/1/2023,Lucknow,176.4,231.7,50.1,4,1.45,14.8,325,Very Poor,24.9,78.3,3.2
65,10/1/2023,Delhi,155.3,246.2,18.1,4,2.53,46.3,369,Very Poor,19.6,86.3,2.6
66,11/1/2023,Pune,39.2,70.6,18.4,2.7,1.72,29.6,61,Satisfactory,23.6,62.3,4.2
67,11/1/2023,Pune,38.7,59,32.8,4.2,0.47,15.7,79,Satisfactory,35.1,89.6,4.2
68,11/1/2023,Pune,36.2,59.9,17.2,5.6,0.17,8,80,Satisfactory,31.8,76.4,13.1
69,11/1/2023,Kolkata,58.1,96.5,41.8,14.9,1.34,53.9,84,Satisfactory,20.6,36.2,3.4
70,11/1/2023,Pune,133.9,192.5,18.7,13.2,1.56,62.2,311,Very Poor,15.2,25.6,4.9
71,12/1/2023,Pune,76.6,121.4,8,8,0.69,47,110,Moderate,17.3,68.2,1
72,12/1/2023,Mumbai,87.9,115.5,14.7,4.3,0.69,96.3,127,Moderate,21.6,65.2,5.1
73,12/1/2023,Jaipur,202.3,326.2,22,7.9,1.49,73.9,329,Very Poor,35.8,31.7,2.5
74,12/1/2023,Delhi,42.6,56.9,46.8,4.6,2.08,12.4,85,Satisfactory,36.1,83.5,4.9
75,12/1/2023,Mumbai,65.7,104.3,12.7,7.7,1.15,56.6,192,Moderate,30.7,27.2,5.1
76,12/1/2023,Ahmedabad,136.2,247.8,39.2,12.4,0.58,29.7,354,Very Poor,28.5,35.4,4.4
77,12/1/2023,Delhi,91.7,131.9,37.7,3.2,1.67,43.6,212,Poor,24.6,35.8,2.6
78,12/1/2023,Chennai,249.1,359.2,2,8.1,0.2,28.5,322,Very Poor,38,54.6,1
79,12/1/2023,Pune,39.5,57.8,31.3,4.7,0.36,37.2,77,Satisfactory,28.8,71.3,2.8
80,12/1/2023,Lucknow,171.7,248.5,38,9.2,2.46,26.3,386,Very Poor,28.3,74.7,2.9
81,12/1/2023,Pune,140.3,214.5,41.3,4.5,0.73,48.2,323,Very Poor,24.4,83.9,3.5
82,12/1/2023,Lucknow,55.1,78.8,30.7,4.6,0.1,41.3,71,Satisfactory,29.1,44.7,1
83,12/1/2023,Pune,121.1,228.6,22.4,8.5,0.19,32.4,361,Very Poor,34.7,44.9,2.9
84,13-01-2023,Jaipur,241.5,419.7,51.7,9.5,0.76,29,307,Very Poor,28.9,54.9,0.7
85,13-01-2023,Jaipur,126.9,229,55,9.8,0.2,21.3,338,Very Poor,28.1,93.7,1
86,13-01-2023,Delhi,500,784.4,27.7,3,1.22,149.5,456,Severe,26.4,86.4,1.9
87,13-01-2023,Hyderabad,128.1,176.1,27.6,1.3,0.73,58.1,311,Very Poor,17.7,37,4.9
88,13-01-2023,Delhi,110.9,161.8,57.2,6.1,0.84,20.7,220,Poor,25.6,59.2,1.5
89,13-01-2023,Mumbai,125.8,171.4,15.1,3.4,0.51,30.2,307,Very Poor,39.2,88.7,4.1
90,13-01-2023,Lucknow,160.1,278,22.3,5.1,5.23,6.4,360,Very Poor,28.5,42.1,2
91,13-01-2023,Hyderabad,77.5,119.5,22,12.5,1.83,8.7,126,Moderate,28.8,55.9,3.6
92,13-01-2023,Hyderabad,54,71.1,24.3,1.3,0.46,14.1,75,Satisfactory,20,64.9,2.3
93,14-01-2023,Delhi,265.8,366.2,68.5,2.4,1.28,42.9,476,Severe,29.8,41.8,0.7
94,14-01-2023,Ahmedabad,73.1,118.8,14.6,1,0.62,18.3,113,Moderate,14.9,87.3,1
95,14-01-2023,Pune,89.1,146.2,19.6,2.7,0.13,15.1,162,Moderate,20.4,21.8,1.5
96,14-01-2023,Ahmedabad,145.8,242,20.4,11.7,1.59,13.3,376,Very Poor,15.3,93.4,1.5
97,14-01-2023,Hyderabad,50,84,52.4,8,0.91,57.4,53,Satisfactory,21.1,32.2,0.2
98,14-01-2023,Kolkata,109.1,189.9,42.6,8.3,1.85,11.1,230,Poor,29.9,49.6,1.5
99,15-01-2023,Hyderabad,69.6,126.4,21.3,15.4,0.66,10.8,181,Moderate,25.6,31.2,6.4
100,15-01-2023,Bengaluru,63.3,87.8,5.7,2.9,0.45,44.9,190,Moderate,20.8,29.8,2
101,15-01-2023,Jaipur,59.4,104,24.4,7.5,1.68,32.6,54,Satisfactory,26.1,80.7,2.2
102,15-01-2023,Kolkata,77.5,143.2,33.3,5.5,2.09,51.3,107,Moderate,22.7,63.2,3.1
103,15-01-2023,Bengaluru,101.3,169,10.3,1,0.68,20.8,244,Poor,27.3,70.2,0.5
104,15-01-2023,Jaipur,97.2,169.6,19.3,10,1.39,22.1,290,Poor,29.5,85.7,1.8
105,16-01-2023,Delhi,166.4,309.6,43.4,1.1,1.47,12,373,Very Poor,31.6,65.5,3.9
106,16-01-2023,Mumbai,58.7,81.5,24.3,9.5,1.53,35.3,73,Satisfactory,30.6,30.5,3.3
107,16-01-2023,Hyderabad,104.5,183.5,23.8,10.2,0.47,45.7,254,Poor,14.4,21,5.4
108,16-01-2023,Lucknow,26.9,45.8,10.6,4.8,1.14,41.4,42,Good,27.5,67.9,1.2
109,16-01-2023,Mumbai,74.4,128.3,37,5.4,0.98,53.5,150,Moderate,39.6,35.3,5.5
110,17-01-2023,Pune,47.5,80.8,19.9,3.5,0.43,53.5,56,Satisfactory,24.1,59.7,5
111,17-01-2023,Delhi,72.4,98.6,7,19.5,0.52,30.9,187,Moderate,29.5,58.6,1.5
112,17-01-2023,Mumbai,105.7,194.7,24.4,2.7,0.21,22.9,262,Poor,28.1,48.3,6.3
113,17-01-2023,Pune,128.1,207.7,22.7,2.1,0.33,40.9,330,Very Poor,29.1,26.9,7.4
114,17-01-2023,Mumbai,83.1,142.6,6,4.2,0.45,39,155,Moderate,27.2,52.7,1.9
115,17-01-2023,Pune,81.1,110,26,11.7,0.32,16.6,121,Moderate,33.8,22.7,0.3
116,17-01-2023,Hyderabad,90.2,131.3,29.8,13.2,0.78,19.5,293,Poor,27.6,31.1,1.9
117,17-01-2023,Lucknow,193.7,304.9,74.5,12.3,0.94,12.1,391,Very Poor,41.1,75.6,3.2
118,17-01-2023,Kolkata,153.6,239.8,17.2,3.1,0.85,12.6,368,Very Poor,20.8,90.5,5
119,17-01-2023,Ahmedabad,28.6,44.7,13.7,15.6,1.31,28.7,36,Good,32.9,29,2.9
120,17-01-2023,Kolkata,119.1,222.8,83.9,5.2,0.14,6.6,277,Poor,18.9,30.6,5.4
121,17-01-2023,Bengaluru,53.4,73.4,16,1.7,0.96,16.4,56,Satisfactory,25.9,33.4,3.5
122,18-01-2023,Lucknow,78.2,117.4,34.1,18.8,2.46,68.2,172,Moderate,21.6,77.2,0.3
123,18-01-2023,Lucknow,55.3,72.7,18.2,9,0.47,67.2,86,Satisfactory,32.5,21,2.9
124,18-01-2023,Lucknow,153.2,273.5,33.9,8.5,0.6,36.6,346,Very Poor,31.1,52.8,4.3
125,19-01-2023,Delhi,113.7,199.4,20,6,0.68,12.9,215,Poor,33.1,80.1,5.4
126,19-01-2023,Mumbai,206.3,306.4,15.8,7.6,0.18,20.9,399,Very Poor,22.7,65,3.4
127,19-01-2023,Mumbai,35.2,61,18.8,2.2,0.71,48.3,83,Satisfactory,23.9,38.5,2.5
128,19-01-2023,Lucknow,90.6,150.6,24.9,12.5,0.6,19.8,274,Poor,23.2,26.6,1.6
129,19-01-2023,Lucknow,76.6,125.9,37.5,6.4,1.07,21,145,Moderate,22.6,48.6,0.7
130,19-01-2023,Hyderabad,73.8,138,22.5,6.9,0.54,48.7,156,Moderate,31.2,26.6,2.2
131,19-01-2023,Hyderabad,47.9,75.9,10.4,3.2,0.89,44.6,92,Satisfactory,27,94.1,1.1
132,19-01-2023,Bengaluru,64.1,86.4,36.5,3.4,1.12,26,122,Moderate,31.1,51.2,3.2
133,19-01-2023,Bengaluru,49.6,74.5,5.5,4,0.57,13.9,63,Satisfactory,26.7,25.1,1.2
134,19-01-2023,Lucknow,122.9,202.2,37.2,21.1,1.46,29,329,Very Poor,32.2,26.1,3.2
135,19-01-2023,Bengaluru,81.8,154,24.5,6.6,0.12,18.7,106,Moderate,25.5,64.4,1.1
136,20-01-2023,Mumbai,102.1,193.5,28.7,19.2,1.28,31.3,218,Poor,35.8,74.8,2.6
137,20-01-2023,Hyderabad,141.4,190.4,13,16.2,1.25,29.2,361,Very Poor,24.7,82.2,5
138,20-01-2023,Hyderabad,43,58.6,15.2,10.5,0.27,21.2,56,Satisfactory,29.9,46.5,5.5
139,20-01-2023,Pune,40.7,65.5,11.2,1.7,1.74,31.2,85,Satisfactory,21.7,31.6,6.1
140,20-01-2023,Jaipur,80.6,112.3,50.1,7.6,0.34,6.5,171,Moderate,30.3,23,2.7
141,20-01-2023,Delhi,116.4,207.9,87.4,36.1,1.09,48.1,273,Poor,30.1,42,0.4
142,20-01-2023,Chennai,38.7,56.1,12.1,4,0.42,19.1,74,Satisfactory,27.7,21.9,1.3
143,20-01-2023,Lucknow,263.9,392.2,17,9,1.56,34.1,478,Severe,22.1,77.9,2
144,21-01-2023,Kolkata,63.4,86.3,11.8,12.2,2.52,52,112,Moderate,21.9,74.9,3
145,21-01-2023,Hyderabad,65.5,118.1,22.3,3.2,0.91,51.8,183,Moderate,31.1,51.2,3.6
146,21-01-2023,Pune,75.4,101.5,6.7,1,0.74,5,139,Moderate,23.3,60.2,9.1
147,21-01-2023,Jaipur,65.5,104.8,19.9,2.1,0.59,52.2,126,Moderate,26.3,27.1,1.7
148,21-01-2023,Ahmedabad,87.1,156.4,43.6,3.2,0.92,56.5,186,Moderate,30.5,63.3,1.7
149,21-01-2023,Delhi,96.7,149.9,23.8,7.4,0.6,23.7,273,Poor,22,77.1,2.6
150,21-01-2023,Jaipur,122.8,171.5,31.2,1,0.77,43.6,348,Very Poor,30.2,75.5,1.9
151,21-01-2023,Pune,91.7,172.3,3.8,3.8,0.39,71.1,232,Poor,23.1,49.4,2
152,22-01-2023,Chennai,49.2,75,25.3,5,0.7,25,81,Satisfactory,33,21.9,1.9
153,22-01-2023,Pune,38.4,63.5,11.7,5.9,0.53,23.5,93,Satisfactory,30.1,28.1,2.3
154,22-01-2023,Delhi,256.9,455.9,15,37.5,2.25,59.1,494,Severe,28.3,69.7,4.9
155,22-01-2023,Mumbai,60.5,91.4,26.1,2.7,0.97,18.2,109,Moderate,21.1,91.5,2
156,22-01-2023,Kolkata,137.8,223.4,59.6,3.4,1.19,6.4,365,Very Poor,20.8,50.1,5.1
157,22-01-2023,Hyderabad,60.7,84.2,8.3,4.1,0.36,58.4,126,Moderate,34.6,21.8,1.7
158,22-01-2023,Bengaluru,64.3,84.3,29.7,5.3,0.95,42.6,140,Moderate,22.8,71.7,1.1
159,22-01-2023,Kolkata,72,121.5,17.8,29.8,0.14,21.6,146,Moderate,29.9,86.7,7.7
160,22-01-2023,Chennai,43.9,61.1,24.7,7.6,1.16,28.3,89,Satisfactory,27.6,95,3.8
161,22-01-2023,Pune,56,94.1,35.4,8.4,1.09,61.8,71,Satisfactory,31.1,37.8,1.3
162,22-01-2023,Lucknow,130.7,170.4,17.8,8.4,0.35,33.6,314,Very Poor,33.8,56.3,3.3
163,23-01-2023,Lucknow,24,39.4,24.5,1.7,1.89,16,26,Good,26.4,47.8,5.2
164,23-01-2023,Kolkata,147.6,255.8,15.2,8,0.41,61.9,399,Very Poor,21,32.5,4.1
165,23-01-2023,Lucknow,75,140.7,34.6,5.6,2.97,41.5,107,Moderate,30.9,49.2,5.6
166,23-01-2023,Mumbai,88.1,118.3,17.4,6.4,1.01,21,149,Moderate,31.4,91.5,1.7
167,23-01-2023,Bengaluru,73.3,123.5,17.6,11.2,0.16,8.6,109,Moderate,29.6,63.2,1
168,23-01-2023,Delhi,110.5,151.9,42.9,35.9,1.12,51.9,296,Poor,30.1,92.7,1.7
169,23-01-2023,Jaipur,240,364.1,14.2,8.9,0.87,25.8,351,Very Poor,28.3,78.2,5.9
170,23-01-2023,Pune,53.4,88.1,18.1,1.5,1.52,41.9,96,Satisfactory,42,53.6,4.8
171,24-01-2023,Lucknow,169.9,283,30.6,11,2.43,12.3,340,Very Poor,21.2,36.1,1.6
172,25-01-2023,Mumbai,92.2,150.9,33.7,3.7,0.87,27,249,Poor,27.2,63.2,1.3
173,25-01-2023,Mumbai,42,67.3,10.1,14.1,0.64,24.6,94,Satisfactory,29.7,62.9,1.8
174,25-01-2023,Ahmedabad,75.9,136.2,46.5,4.7,0.44,21.2,154,Moderate,26,50.4,4.1
175,25-01-2023,Chennai,55.6,95.5,18.9,12.1,0.51,16.9,78,Satisfactory,27.5,82.6,1
176,25-01-2023,Chennai,111.3,177.3,26,12.4,0.35,55.3,213,Poor,34.6,57.1,0.9
177,25-01-2023,Chennai,81.7,117.4,17.6,3.8,1.58,42.1,107,Moderate,35.8,73.2,2.6
178,25-01-2023,Lucknow,180,320.6,17.8,4.7,0.73,18.5,359,Very Poor,26.4,50.2,2.7
179,25-01-2023,Hyderabad,60.9,109.6,13.7,10.7,1.73,83.9,182,Moderate,34.6,88.2,1.6
180,25-01-2023,Bengaluru,73,128.6,10.8,3.4,1.38,17.8,127,Moderate,33,66.8,2.1
181,26-01-2023,Delhi,44.7,82.3,20.4,19.5,0.87,36.6,70,Satisfactory,18.5,51.6,3.4
182,26-01-2023,Pune,38.5,58.7,35.6,8,0.41,21,76,Satisfactory,16.3,22.4,2.9
183,26-01-2023,Jaipur,146,259.4,19.3,1.8,2.11,42.9,375,Very Poor,32.3,73.7,5.5
184,26-01-2023,Kolkata,49.7,86.8,12.8,9.3,0.97,42.9,66,Satisfactory,30.9,39.5,2.1
185,26-01-2023,Chennai,56.9,88.9,39.7,19.6,0.32,26.8,69,Satisfactory,32.4,25.5,0.2
186,26-01-2023,Chennai,130.8,185,12.5,3,0.82,16.7,334,Very Poor,26.8,63.4,3.4
187,27-01-2023,Mumbai,72.4,118.6,20.6,4.4,2.64,71.6,143,Moderate,30.9,45.4,1.3
188,27-01-2023,Hyderabad,78.7,106.1,15.4,4,0.98,24.9,101,Moderate,25.5,64.8,1
189,27-01-2023,Kolkata,185.8,276.7,29.3,12.9,2.83,22.7,351,Very Poor,27.2,62.9,2.8
190,27-01-2023,Mumbai,72.8,125,9.1,18.2,0.3,40.6,106,Moderate,29.6,86.2,2.1
191,27-01-2023,Mumbai,150.3,259,50.5,3.6,1.7,38.9,309,Very Poor,26.5,22.7,2.7
192,28-01-2023,Mumbai,73.9,135.8,32.5,13,1.26,44.1,169,Moderate,24.3,66.7,3.4
193,28-01-2023,Delhi,57.5,106,88,12.8,2.81,24.1,90,Satisfactory,40.3,86.6,1.2
194,28-01-2023,Delhi,175.4,251.3,39,21,0.73,11.8,329,Very Poor,24.3,83.4,3.1
195,28-01-2023,Jaipur,43.1,70.7,43.6,10.8,0.86,88.6,99,Satisfactory,23.8,63.3,5.9
196,28-01-2023,Chennai,56.2,86.2,8,11.6,1.52,36.5,99,Satisfactory,32.6,48.9,2
197,28-01-2023,Mumbai,91.1,151.7,32.3,13.4,0.96,26,280,Poor,32.5,56.6,4.6
198,28-01-2023,Lucknow,111.9,211.4,22.7,7.4,0.63,57.8,267,Poor,38,33.8,3.2
199,29-01-2023,Delhi,141.6,227.7,25.6,2,0.78,30.7,310,Very Poor,38.8,37.3,0.5
200,29-01-2023,Mumbai,74.3,112.4,31.3,7.7,2.57,5.2,177,Moderate,17.2,36.8,6.3
201,29-01-2023,Bengaluru,100.2,165.4,12.5,12.6,1.3,16.2,223,Poor,33.8,33.7,5
202,29-01-2023,Ahmedabad,143.8,240.1,43.7,10.8,0.35,30,386,Very Poor,16.1,50.9,2.1
203,29-01-2023,Ahmedabad,32.9,48.5,34.1,12.2,3.61,35.9,61,Satisfactory,24.2,84,7.1
204,29-01-2023,Mumbai,48.2,73.7,20.2,3.8,0.82,26.2,83,Satisfactory,24.1,85.2,3.3
205,29-01-2023,Chennai,21.2,32.3,19.1,3.6,1.72,58.4,42,Good,29.8,93.5,0.4
206,29-01-2023,Hyderabad,27,39.7,15.2,3.5,0.44,13.1,12,Good,27.5,61.3,2
207,29-01-2023,Hyderabad,78.2,101.7,11.7,1.2,1.67,62.6,166,Moderate,32.6,61.9,4.3
208,30-01-2023,Jaipur,122.2,166.8,41.2,25.4,0.37,69,358,Very Poor,31,69.6,3.9
209,30-01-2023,Mumbai,150,228.7,13.2,12.2,0.14,28.7,373,Very Poor,28.4,56.9,11.4
210,30-01-2023,Pune,107.6,186.6,26.3,3.7,1.77,34.9,280,Poor,27.6,89.5,2.4
211,31-01-2023,Hyderabad,122.1,206.8,37.8,15.3,1.16,9.8,365,Very Poor,21.6,60.9,2.6
212,31-01-2023,Hyderabad,102,149.8,12.1,7.9,0.21,26.5,266,Poor,23.2,71.2,5.5
213,31-01-2023,Lucknow,86.4,145.9,18.5,6.8,2.03,26.2,178,Moderate,29.3,56.7,4.5
214,31-01-2023,Jaipur,105.5,161.5,48.8,14.1,3.65,33.4,257,Poor,31.3,79.6,1.7
215,1/2/2023,Lucknow,141.5,220.5,55.8,19.6,0.23,8.2,391,Very Poor,25.6,72.3,3.8
216,1/2/2023,Hyderabad,59.1,89.1,10.9,6.7,0.41,20.3,53,Satisfactory,24.2,73.6,4
217,1/2/2023,Mumbai,63.1,119.8,33.5,7.5,1.52,19.2,197,Moderate,28,85.3,0.6
218,2/2/2023,Mumbai,80.1,134.2,20.5,10,0.48,82.3,167,Moderate,26.2,38.7,2.6
219,2/2/2023,Mumbai,49.3,89.4,10.8,2.2,0.89,32,55,Satisfactory,26.4,51,2.6
220,2/2/2023,Kolkata,27.8,38.1,10.2,4.5,3.05,62.8,16,Good,39.6,44.4,4.5
221,2/2/2023,Bengaluru,101.6,139.7,42.3,6.3,0.7,68,219,Poor,22.3,28.8,1.1
222,2/2/2023,Kolkata,75.6,130.1,49.2,5.4,0.64,59.8,155,Moderate,13.7,28.7,2
223,3/2/2023,Mumbai,55.7,76.7,34.1,8,2.39,35.6,58,Satisfactory,38.8,66,3
224,3/2/2023,Kolkata,134.4,244.9,59.6,10,1.6,34.3,343,Very Poor,20.8,57.4,5.1
225,3/2/2023,Lucknow,21.8,34.4,11.7,7.2,0.62,51.3,33,Good,26.5,85.5,2.3
226,4/2/2023,Pune,49.5,68.4,7.7,13.5,0.48,58,87,Satisfactory,33.6,62.5,0.6
227,4/2/2023,Mumbai,106.4,166.2,56.1,14.9,1.41,28.2,287,Poor,29.2,91,3.6
228,4/2/2023,Lucknow,66.4,118.4,65.2,3,1.27,45.1,112,Moderate,26,53.2,1.9
229,4/2/2023,Mumbai,81,152.8,42.1,8.2,1.16,70.1,131,Moderate,29,78.5,3.4
230,4/2/2023,Bengaluru,71.3,112.2,21.8,6.1,0.51,34.9,187,Moderate,27.6,49.9,2.6
231,4/2/2023,Hyderabad,54.1,71.3,21.5,16,0.45,25.9,65,Satisfactory,35.7,29.2,5.1
232,4/2/2023,Delhi,152.1,247.3,12.4,21.1,1.4,26.5,391,Very Poor,26.6,64.2,6.7
233,5/2/2023,Chennai,57.1,103.6,9.1,7.7,1.09,15.8,85,Satisfactory,29.8,50.8,1.5
234,5/2/2023,Delhi,218.7,300.3,82,24.8,2.42,53.2,344,Very Poor,30.2,59.7,0.8
235,5/2/2023,Mumbai,40.6,57,27.7,6.4,0.28,34.9,75,Satisfactory,19.5,29.8,5.2
236,5/2/2023,Hyderabad,79.8,119.6,16,2.8,1.81,16.5,118,Moderate,30.8,49.8,3.3
237,5/2/2023,Pune,53.3,91.9,14.7,6.6,0.85,6.2,62,Satisfactory,25.7,61.4,1.7
238,6/2/2023,Bengaluru,34.6,45.4,13.4,1,0.51,44.5,91,Satisfactory,44.3,31.7,2.8
239,6/2/2023,Delhi,67.6,99.9,36,7.6,1.08,76.5,133,Moderate,34.9,48.6,2.1
240,6/2/2023,Delhi,143.6,244.4,18.4,2.9,1.03,143.6,379,Very Poor,28.5,42.9,1
241,6/2/2023,Kolkata,68,121,36.5,15.5,1.13,23,169,Moderate,26.4,38.1,6
242,6/2/2023,Jaipur,162.6,256.1,56.5,5.2,2.69,13.3,369,Very Poor,38.2,88.8,6
243,7/2/2023,Delhi,123.9,165.9,127,4.6,0.17,67.3,381,Very Poor,29.8,23.6,3.4
244,7/2/2023,Mumbai,163.6,290.2,25.3,4.6,0.7,24.8,368,Very Poor,20.8,81.9,6.7
