Date,Symbol,Open,High,Low,Close,Adj_Close,Volume,Daily_Return_%,MA_5,MA_20
1/4/2023,ICICIBANK,3333.41,3367.39,3292.95,3317.87,3307.13,590829,-0.466,3311.68,3311.68
1/4/2023,INFY,3110.32,3166.9,3033.19,3039.02,3034.73,2171164,-2.292,3062.78,3062.78
1/4/2023,ITC,2107.69,2111.29,2055.91,2066.64,2065.23,2150971,-1.948,2073.16,2073.16
1/4/2023,LT,1729.87,1738.31,1677.76,1699.62,1696.22,3201910,-1.749,1714.78,1714.78
1/4/2023,RELIANCE,1433.86,1444.76,1350.78,1359.66,1354.84,783519,-5.175,1399.43,1399.43
1/4/2023,SBIN,1908.67,1911.43,1875.15,1878.56,1877.01,2475232,-1.578,1898.61,1898.61
1/4/2023,TATAMOTORS,3144.17,3188.6,3128.07,3187.56,3173.94,2001991,1.38,3155.14,3155.14
1/4/2023,TCS,2496.68,2511.01,2474.87,2497.64,2494.33,3952407,0.039,2506.97,2506.97
1/4/2023,WIPRO,2662.73,2725.22,2625.06,2713.27,2704.6,1546117,1.898,2696.07,2696.07
1/5/2023,HDFCBANK,2682.06,2685.93,2663.55,2681.03,2673.24,3036881,-0.039,2680.04,2680.04
1/5/2023,ICICIBANK,3317.87,3387.24,3316.64,3380.99,3370.16,4092480,1.902,3329.01,3329.01
1/5/2023,INFY,3039.02,3081.63,3029.01,3041.07,3038.23,1241792,0.068,3057.35,3057.35
1/5/2023,ITC,2066.64,2074.26,2039.58,2065.72,2064.9,4234875,-0.045,2071.3,2071.3
1/5/2023,LT,1699.62,1727.27,1686.86,1714.62,1708.12,2902174,0.883,1714.74,1714.74
1/5/2023,RELIANCE,1359.66,1367.31,1296.32,1318.9,1313.62,3947362,-2.998,1379.3,1379.3
1/5/2023,SBIN,1878.56,1935.6,1868.58,1928.26,1921.24,536179,2.646,1906.02,1906.02
1/5/2023,TATAMOTORS,3187.56,3202.42,3145.07,3178.95,3170.45,430376,-0.27,3161.09,3161.09
1/5/2023,TCS,2497.64,2503.52,2478.14,2479.56,2467.3,4211086,-0.724,2500.12,2500.12
1/5/2023,WIPRO,2713.27,2775.31,2700.22,2746.34,2740.5,4609634,1.219,2708.64,2708.64
1/6/2023,HDFCBANK,2681.03,2683.1,2627,2648.41,2636.55,832791,-1.217,2673.72,2673.72
1/6/2023,ICICIBANK,3380.99,3384.78,3318.17,3332.5,3322.03,4993875,-1.434,3329.71,3329.71
1/6/2023,INFY,3041.07,3051.15,2944.96,2960.11,2951.46,4166704,-2.662,3037.9,3037.9
1/6/2023,ITC,2065.72,2163.33,2057.65,2159.4,2152.07,1470505,4.535,2088.92,2088.92
1/6/2023,LT,1714.62,1731.67,1696.97,1713.03,1710.74,4487044,-0.093,1714.4,1714.4
1/6/2023,RELIANCE,1318.9,1391.45,1317.61,1387.07,1380.59,935568,5.169,1380.85,1380.85
1/6/2023,SBIN,1928.26,1957.14,1919.13,1950.58,1947.74,2618435,1.157,1914.94,1914.94
1/6/2023,TATAMOTORS,3178.95,3226.39,3064.83,3095.88,3087.76,1695667,-2.613,3148.05,3148.05
1/6/2023,TCS,2479.56,2486.64,2388.39,2405.52,2405.13,2777508,-2.986,2481.2,2481.2
1/6/2023,WIPRO,2746.34,2793.84,2744.79,2784.46,2776.35,676078,1.388,2723.8,2723.8
1/9/2023,HDFCBANK,2648.41,2864.91,2638.88,2836.66,2824.94,1332007,7.108,2709.02,2700.87
1/9/2023,ICICIBANK,3332.5,3363.46,3320.94,3342.81,3336.62,4993195,0.309,3341.52,3331.89
1/9/2023,INFY,2960.11,2974.32,2874.57,2883.69,2875.73,3379414,-2.582,3006.84,3012.2
1/9/2023,ITC,2159.4,2160.11,2147.04,2149,2148.87,2187424,-0.482,2109.69,2098.93
1/9/2023,LT,1713.03,1734.27,1712.19,1733.41,1730.02,3131031,1.19,1718.11,1717.56
1/9/2023,RELIANCE,1387.07,1393.73,1363.06,1373.47,1371.3,578593,-0.981,1374.59,1379.62
1/9/2023,SBIN,1950.58,2018.28,1945.09,2000.68,1997.66,3418231,2.569,1933.35,1929.23
1/9/2023,TATAMOTORS,3095.88,3135.32,3032.78,3060.4,3050.61,207071,-1.146,3133.39,3133.44
1/9/2023,TCS,2405.52,2434.54,2392.82,2434.4,2432.73,3620424,1.2,2462.76,2473.4
1/9/2023,WIPRO,2784.46,2793.16,2733.66,2757.37,2748.4,3710106,-0.973,2732.83,2729.4
1/10/2023,HDFCBANK,2836.66,2862.21,2796.3,2797.22,2792.63,196091,-1.39,2729.08,2714.64
1/10/2023,ICICIBANK,3342.81,3403.78,3316.92,3386.11,3380.83,4181979,1.295,3352.06,3339.64
1/10/2023,INFY,2883.69,2885.06,2768.85,2801.68,2794.4,4978661,-2.844,2945.11,2982.13
1/10/2023,ITC,2149,2169.68,2138.13,2146.5,2136.84,3613294,-0.116,2117.45,2105.73
1/10/2023,LT,1733.41,1736.71,1728.24,1729.37,1724.59,3779229,-0.233,1718.01,1719.25
1/10/2023,RELIANCE,1373.47,1375.24,1340.34,1346.09,1341.1,4555669,-1.993,1357.04,1374.83
1/10/2023,SBIN,2000.68,2043.57,1989.98,2042.03,2036.85,3910448,2.067,1960.02,1945.34
1/10/2023,TATAMOTORS,3060.4,3098.97,3053.59,3082.23,3077.61,4471931,0.713,3121,3126.13
1/10/2023,TCS,2434.4,2469.92,2392.46,2459.57,2457.91,745403,1.034,2455.34,2471.42
1/10/2023,WIPRO,2757.37,2770.35,2719.89,2765.01,2759.16,4601552,0.277,2753.29,2734.48
1/11/2023,HDFCBANK,2797.22,2818.41,2714.94,2716.13,2713.47,905524,-2.899,2735.89,2714.82
1/11/2023,ICICIBANK,3386.11,3397.26,3245.81,3260.1,3244.4,4536898,-3.721,3340.5,3329.7
1/11/2023,INFY,2801.68,2940.48,2788.38,2876.76,2873.89,4592104,2.68,2912.66,2968.96
1/11/2023,ITC,2146.5,2156.83,2144.05,2154.5,2151.09,4651560,0.373,2135.02,2111.82
1/11/2023,LT,1729.37,1739.74,1646.16,1674.49,1673,3090897,-3.173,1712.98,1713.66
1/11/2023,RELIANCE,1346.09,1360.24,1334.33,1346.62,1343.56,2648333,0.039,1354.43,1371.3
1/11/2023,SBIN,2042.03,2047.09,1973.62,1986.1,1984.99,1909717,-2.739,1981.53,1950.44
1/11/2023,TATAMOTORS,3082.23,3092.77,2972.55,3017.11,3014.86,2678099,-2.113,3086.91,3112.5
1/11/2023,TCS,2459.57,2524.41,2442.6,2514.77,2513.15,1521223,2.244,2458.76,2476.84
1/11/2023,WIPRO,2765.01,2779.86,2630.83,2666.45,2662.77,1196094,-3.565,2743.93,2725.98
1/12/2023,HDFCBANK,2716.13,2722.38,2672.42,2697.54,2687.61,1348130,-0.684,2739.19,2712.9
1/12/2023,ICICIBANK,3260.1,3287.02,3198.87,3216,3202.56,1169520,-1.353,3307.5,3317.06
1/12/2023,INFY,2876.76,2988.11,2871.38,2978.8,2970.81,1042347,3.547,2900.21,2970.05
1/12/2023,ITC,2154.5,2220.77,2139.61,2186.09,2176.75,2109733,1.466,2159.1,2120.08
1/12/2023,LT,1674.49,1706.54,1670.93,1694.11,1685.75,1683844,1.172,1708.88,1711.48
1/12/2023,RELIANCE,1346.62,1362.72,1335.74,1353.18,1352.02,1429610,0.487,1361.29,1369.29
1/12/2023,SBIN,1986.1,2086.83,1966.67,2039.38,2030.4,3314148,2.683,2003.75,1960.32
1/12/2023,TATAMOTORS,3017.11,3067.08,2840.38,2851.3,2840.47,4678440,-5.496,3021.38,3083.48
1/12/2023,TCS,2514.77,2582.02,2501.02,2569.34,2567.19,2901555,2.17,2476.72,2487.12
1/12/2023,WIPRO,2666.45,2722.33,2639.95,2669.43,2668.74,3990299,0.112,2728.54,2719.7
1/13/2023,HDFCBANK,2697.54,2743.07,2650.87,2679.58,2667.87,4743890,-0.666,2745.43,2709.57
1/13/2023,ICICIBANK,3216,3364.79,3174.78,3364.38,3363.5,1428771,4.614,3313.88,3321.79
1/13/2023,INFY,2978.8,3144.54,2974.68,3137.46,3136.71,1743493,5.326,2935.68,2986.79
1/13/2023,ITC,2186.09,2199.43,2115.82,2122.45,2120.52,1034276,-2.911,2151.71,2120.31
1/13/2023,LT,1694.11,1752.36,1679.72,1743.79,1738,1850816,2.933,1715.03,1714.71
1/13/2023,RELIANCE,1353.18,1367.76,1301.77,1311,1305.37,2759210,-3.117,1346.07,1363.46
1/13/2023,SBIN,2039.38,2044.11,1996.74,2003.05,1999.99,1034666,-1.781,2014.25,1964.59
1/13/2023,TATAMOTORS,2851.3,3000.85,2846.68,2991.82,2985.97,476023,4.928,3000.57,3074.31
1/13/2023,TCS,2569.34,2576.93,2497.56,2500.43,2491.53,2789407,-2.682,2495.7,2488.45
1/13/2023,WIPRO,2669.43,2705.94,2654.34,2698.97,2696.39,2089428,1.107,2711.45,2717.62
1/16/2023,HDFCBANK,2679.58,2704.52,2621.52,2644.12,2637.14,2875574,-1.323,2706.92,2703.62
1/16/2023,ICICIBANK,3364.38,3365.91,3295.52,3319.26,3307.3,3302095,-1.341,3309.17,3321.56
1/16/2023,INFY,3137.46,3292.65,3110.48,3278.05,3263.29,1941523,4.481,3014.55,3013.27
1/16/2023,ITC,2122.45,2199.31,2091.69,2174.01,2171.19,3482286,2.429,2156.71,2125.2
1/16/2023,LT,1743.79,1811.15,1736.28,1810.97,1808.45,3349199,3.853,1730.55,1723.47
1/16/2023,RELIANCE,1311,1336.35,1301.62,1326.92,1322.67,462818,1.214,1336.76,1360.14
1/16/2023,SBIN,2003.05,2009.4,1945.39,1955.25,1951.72,3526289,-2.386,2005.16,1963.74
1/16/2023,TATAMOTORS,2991.82,3045.19,2970.31,2996.98,2984.09,4277897,0.173,2987.89,3067.28
1/16/2023,TCS,2500.43,2527.49,2420.36,2450.2,2442.91,3690225,-2.009,2498.86,2484.97
1/16/2023,WIPRO,2698.97,2809.78,2697.54,2760.72,2747.49,2623199,2.288,2712.12,2721.54
1/17/2023,HDFCBANK,2644.12,2681.16,2576.79,2577.44,2573.16,530087,-2.522,2662.96,2693.11
1/17/2023,ICICIBANK,3319.26,3440.36,3309.12,3400.41,3387.85,4647242,2.445,3312.03,3328.13
1/17/2023,INFY,3278.05,3311.8,3222.79,3287.86,3275.04,3912126,0.299,3111.79,3036.15
1/17/2023,ITC,2174.01,2182.76,2112.79,2112.97,2106.76,4782927,-2.808,2150,2124.18
1/17/2023,LT,1810.97,1869.72,1806.82,1861.24,1858.23,4483862,2.775,1756.92,1734.95
1/17/2023,RELIANCE,1326.92,1363.88,1315.25,1347.62,1342.98,411435,1.56,1337.07,1359.1
1/17/2023,SBIN,1955.25,1979.61,1891.98,1894.82,1891.2,3813894,-3.091,1975.72,1958
1/17/2023,TATAMOTORS,2996.98,3047.9,2992.95,3030.45,3025.44,2771534,1.117,2977.53,3064.21
1/17/2023,TCS,2450.2,2516.7,2416.74,2505.96,2497.59,3458675,2.275,2508.14,2486.72
1/17/2023,WIPRO,2760.72,2809.4,2743.12,2805.44,2803.27,2395950,1.62,2720.2,2728.53
1/18/2023,HDFCBANK,2577.44,2615.94,2535.53,2601.02,2594.6,771136,0.915,2639.94,2686.02
1/18/2023,ICICIBANK,3400.41,3455.8,3345.73,3372.15,3357.79,1793346,-0.831,3334.44,3331.52
1/18/2023,INFY,3287.86,3318.33,3263.06,3268.23,3260.34,2152725,-0.597,3190.08,3054
1/18/2023,ITC,2112.97,2143.68,2101.46,2121.49,2120.43,2912476,0.403,2143.4,2123.97
1/18/2023,LT,1861.24,1863.78,1839.3,1843.24,1843.01,4254633,-0.967,1790.67,1743.28
1/18/2023,RELIANCE,1347.62,1390.01,1338.62,1380.09,1374.02,2413853,2.409,1343.76,1360.71
1/18/2023,SBIN,1894.82,1911.65,1867.33,1871.46,1867.21,4129581,-1.233,1952.79,1951.34
1/18/2023,TATAMOTORS,3030.45,3078.9,2965.1,3077.16,3068.08,3020882,1.541,2989.54,3065.21
1/18/2023,TCS,2505.96,2516.95,2496.2,2499.4,2494.8,3390247,-0.262,2505.07,2487.7
1/18/2023,WIPRO,2805.44,2928.3,2786.43,2892.89,2879.19,912566,3.117,2765.49,2741.18
1/19/2023,HDFCBANK,2601.02,2602.42,2511.79,2533.57,2524.17,3841714,-2.593,2607.15,2675.13
1/19/2023,ICICIBANK,3372.15,3386.01,3368.24,3373.08,3362.55,4983995,0.028,3365.86,3334.49
1/19/2023,INFY,3268.23,3328.62,3243.19,3296.06,3281.38,2970461,0.851,3253.53,3071.29
1/19/2023,ITC,2121.49,2134.75,2110.31,2123.31,2116.5,883652,0.086,2130.85,2123.92
1/19/2023,LT,1843.24,1903.02,1821.02,1891.6,1889.43,286534,2.624,1830.17,1753.87
1/19/2023,RELIANCE,1380.09,1399.78,1371.31,1388.97,1387.38,2850258,0.643,1350.92,1362.73
1/19/2023,SBIN,1871.46,1910,1849.24,1906.59,1903.71,1918447,1.877,1926.23,1948.15
1/19/2023,TATAMOTORS,3077.16,3086.55,3010.34,3020.25,3016.06,2818726,-1.849,3023.33,3062
1/19/2023,TCS,2499.4,2533,2472.88,2525.73,2514.38,3779605,1.054,2496.34,2490.41
1/19/2023,WIPRO,2892.89,2907.05,2845.86,2864.48,2859.76,1483324,-0.982,2804.5,2749.98
1/20/2023,HDFCBANK,2533.57,2547.57,2515.75,2547.38,2544.42,2132753,0.545,2580.71,2666.62
1/20/2023,ICICIBANK,3373.08,3454.29,3363.56,3446.18,3432.5,2103333,2.167,3382.22,3341.93
1/20/2023,INFY,3296.06,3315.35,3190.82,3214.77,3208.58,3399756,-2.466,3268.99,3080.86
1/20/2023,ITC,2123.31,2141.72,2061.55,2092.62,2086.74,2847419,-1.446,2124.88,2121.84
1/20/2023,LT,1891.6,1905.65,1875.9,1884.46,1878.84,129609,-0.377,1858.3,1762.58
1/20/2023,RELIANCE,1388.97,1494.27,1384.54,1483.34,1476.16,628667,6.795,1385.39,1370.77
1/20/2023,SBIN,1906.59,1956.74,1888.65,1955.33,1955.17,1164061,2.556,1916.69,1948.62
1/20/2023,TATAMOTORS,3020.25,3159.95,3003.14,3156.52,3155.42,4540702,4.512,3056.27,3068.3
1/20/2023,TCS,2525.73,2545.07,2471.49,2478.31,2472.34,430762,-1.878,2491.92,2489.61
1/20/2023,WIPRO,2864.48,2929.81,2845.61,2904.69,2904.23,4311881,1.404,2845.64,2760.3
1/23/2023,HDFCBANK,2547.38,2581.98,2520.86,2573.13,2564.72,4244149,1.011,2566.51,2660.77
1/23/2023,ICICIBANK,3446.18,3466.22,3394.27,3398.81,3386.11,3507495,-1.375,3398.13,3345.49
1/23/2023,INFY,3214.77,3294.09,3194.49,3263.44,3253.48,4941268,1.514,3266.07,3092.27
1/23/2023,ITC,2092.62,2148.39,2087.96,2139.36,2128.78,4470008,2.234,2117.95,2122.93
1/23/2023,LT,1884.46,1921.76,1880.42,1920.2,1916.89,4847847,1.896,1880.15,1772.43
1/23/2023,RELIANCE,1483.34,1500.18,1469.92,1482.28,1481.59,2591996,-0.072,1416.46,1377.74
1/23/2023,SBIN,1955.33,2007.56,1947.37,2000.68,1996.04,1718054,2.32,1925.78,1951.88
1/23/2023,TATAMOTORS,3156.52,3164.1,2955.67,3009.52,3002.93,3917566,-4.657,3058.78,3064.62
1/23/2023,TCS,2478.31,2482.88,2458.82,2477.13,2473.48,3715636,-0.047,2497.31,2488.83
1/23/2023,WIPRO,2904.69,2938.16,2878.16,2907.14,2901.66,3162612,0.084,2874.93,2769.47
1/24/2023,HDFCBANK,2573.13,2661.61,2536.2,2641.32,2632.64,2927561,2.65,2579.28,2659.63
1/24/2023,ICICIBANK,3398.81,3408.7,3350.28,3350.82,3343.61,2903519,-1.412,3388.21,3345.8
1/24/2023,INFY,3263.44,3353.7,3245.83,3323.65,3313.87,1478294,1.845,3273.23,3105.88
1/24/2023,ITC,2139.36,2145.94,2071.28,2075.61,2067.13,4968787,-2.98,2110.48,2120.15
1/24/2023,LT,1920.2,1938.92,1865.47,1896.58,1895.32,3864744,-1.23,1887.22,1779.73
1/24/2023,RELIANCE,1482.28,1500.01,1457.91,1467.18,1461.97,477201,-1.019,1440.37,1383
1/24/2023,SBIN,2000.68,2024.33,1997.94,2006.42,2000.3,3278737,0.287,1948.1,1955.09
1/24/2023,TATAMOTORS,3009.52,3014.57,2987.47,3010,3007.84,2521092,0.016,3054.69,3061.41
1/24/2023,TCS,2477.13,2495.56,2358.33,2386.91,2380.74,1106131,-3.642,2473.5,2482.83
1/24/2023,WIPRO,2907.14,2943.99,2882.66,2916.94,2904.23,2665642,0.337,2897.23,2778.15
1/25/2023,HDFCBANK,2641.32,2707.81,2626.48,2699.86,2690.8,3286455,2.216,2599.05,2661.86
1/25/2023,ICICIBANK,3350.82,3462.92,3340.82,3427.77,3412.81,3751150,2.296,3399.33,3350.36
1/25/2023,INFY,3323.65,3357.46,3243.18,3275.87,3270.63,134749,-1.438,3274.76,3115.32
1/25/2023,ITC,2075.61,2092.27,2067.62,2079.18,2069.62,2746457,0.172,2102.02,2117.87
1/25/2023,LT,1896.58,1965.28,1877.53,1945.59,1938.57,2790333,2.584,1907.69,1788.95
1/25/2023,RELIANCE,1467.18,1495.71,1453.58,1489.73,1488.27,4370156,1.537,1462.3,1388.93
1/25/2023,SBIN,2006.42,2023.58,1961.49,1961.55,1959.51,631959,-2.236,1966.11,1955.45
1/25/2023,TATAMOTORS,3010,3106.77,2981.68,3051.81,3042.55,628336,1.389,3049.62,3060.88
1/25/2023,TCS,2386.91,2404.51,2338.14,2357.07,2356.7,3318104,-1.25,2445.03,2475.85
1/25/2023,WIPRO,2916.94,2930,2792.63,2796.66,2784.33,4900373,-4.124,2877.98,2779.18
1/26/2023,HDFCBANK,2699.86,2714.3,2601.17,2622.11,2615.7,3630038,-2.88,2616.76,2659.77
1/26/2023,ICICIBANK,3427.77,3466.78,3409.62,3450.69,3441.19,2428614,0.669,3414.85,3355.64
1/26/2023,INFY,3275.87,3282.96,3246.94,3258.23,3242.67,3119824,-0.538,3267.19,3122.85
1/26/2023,ITC,2079.18,2123.81,2065.78,2099.43,2098.6,4591454,0.974,2097.24,2116.9
1/26/2023,LT,1945.59,1985.09,1939.99,1957.97,1949.11,438123,0.637,1920.96,1797.84
1/26/2023,RELIANCE,1489.73,1533.5,1486.05,1531.35,1525.44,639254,2.794,1490.78,1396.43
1/26/2023,SBIN,1961.55,1995.63,1945.96,1984.89,1975.19,2671066,1.19,1981.77,1957
1/26/2023,TATAMOTORS,3051.81,3078.42,3033.51,3073.84,3069.08,854408,0.722,3060.34,3061.56
1/26/2023,TCS,2357.07,2360.4,2314.06,2324.23,2319.85,3035318,-1.393,2404.73,2467.87
1/26/2023,WIPRO,2796.66,2832.49,2771.56,2825.62,2813.12,1982729,1.035,2870.21,2781.62
1/27/2023,HDFCBANK,2622.11,2678.05,2529.45,2531.42,2519.38,4608965,-3.459,2613.57,2653.35
1/27/2023,ICICIBANK,3450.69,3474.61,3343.93,3383.58,3378.74,3257541,-1.945,3402.33,3357.03
1/27/2023,INFY,3258.23,3297.23,3201.96,3226.72,3223.01,1906753,-0.967,3269.58,3128.04
1/27/2023,ITC,2099.43,2104.39,2094.17,2104.26,2101.83,1267248,0.23,2099.57,2116.27
1/27/2023,LT,1957.97,1970.62,1938.1,1943.28,1937.45,2430930,-0.75,1932.72,1805.11
1/27/2023,RELIANCE,1531.35,1568.56,1527.78,1552.74,1545.03,4317579,1.396,1504.66,1404.24
1/27/2023,SBIN,1984.89,1994.28,1970.64,1975.84,1967.62,3967960,-0.456,1985.88,1957.94
1/27/2023,TATAMOTORS,3073.84,3076.65,2987.39,2996.34,2989.65,3123674,-2.521,3028.3,3058.3
1/27/2023,TCS,2324.23,2348.39,2297.41,2312.76,2312.36,174042,-0.493,2371.62,2460.11
1/27/2023,WIPRO,2825.62,2855.97,2817.91,2824.02,2818.46,2971248,-0.056,2854.08,2783.74
1/30/2023,HDFCBANK,2531.42,2594.03,2521.32,2589.22,2585.76,193312,2.283,2616.79,2649.81
1/30/2023,ICICIBANK,3383.58,3415.55,3268.73,3316.79,3313.7,4926195,-1.974,3385.93,3358.69
1/30/2023,INFY,3226.72,3258.82,3199.47,3202.62,3194.36,3881996,-0.747,3257.42,3136.22
1/30/2023,ITC,2104.26,2159.39,2096.57,2143.32,2136.91,1442834,1.856,2100.36,2121.18
1/30/2023,LT,1943.28,1951.94,1914.45,1916.88,1911.34,2423527,-1.359,1932.06,1815.22
1/30/2023,RELIANCE,1552.74,1557.03,1466.4,1471.06,1470.64,1754314,-5.26,1502.41,1407.56
1/30/2023,SBIN,1975.84,2036.53,1973.77,2024.88,2016.69,4164061,2.482,1990.72,1963.75
1/30/2023,TATAMOTORS,2996.34,3022.3,2956.59,3012.05,3008.8,4504174,0.524,3028.81,3052.22
1/30/2023,TCS,2312.76,2373.05,2297.61,2351.45,2342.88,1633246,1.673,2346.48,2451.35
1/30/2023,WIPRO,2824.02,2849.12,2791.54,2792.71,2783.19,4202022,-1.109,2831.19,2787.77
1/31/2023,HDFCBANK,2589.22,2593.26,2561.73,2572.8,2560.51,2251243,-0.634,2603.08,2643.6
1/31/2023,ICICIBANK,3316.79,3319.1,3253.32,3279.76,3275.44,4304176,-1.116,3371.72,3356
1/31/2023,INFY,3202.62,3254.61,3188.59,3241.9,3238.75,1084465,1.226,3241.07,3142.8
1/31/2023,ITC,2143.32,2172.19,2098.23,2167.6,2161.67,920126,1.133,2118.76,2124.17
1/31/2023,LT,1916.88,1950.97,1912.14,1942.33,1938.24,1727970,1.328,1941.21,1825.84
1/31/2023,RELIANCE,1471.06,1473.59,1439.61,1463.28,1458.63,3544792,-0.528,1501.63,1409.03
1/31/2023,SBIN,2024.88,2053.66,2007.33,2044.57,2037.44,1044443,0.973,1998.35,1970.55
1/31/2023,TATAMOTORS,3012.05,3077.36,3008.14,3076.7,3068.38,633519,2.146,3042.15,3048.84
1/31/2023,TCS,2351.45,2444.69,2346.34,2424.95,2414.11,4738995,3.126,2354.09,2447.77
1/31/2023,WIPRO,2792.71,2886.16,2775.42,2858.53,2847.52,3946481,2.357,2819.51,2797.56
2/1/2023,HDFCBANK,2572.8,2589.81,2549.15,2571.08,2559.05,1149931,-0.067,2577.33,2638.05
2/1/2023,ICICIBANK,3279.76,3314.92,3214.37,3250.27,3248.81,4211695,-0.899,3336.22,3352.62
2/1/2023,INFY,3241.9,3261.85,3210.24,3213.49,3207.79,2921383,-0.876,3228.59,3151.52
2/1/2023,ITC,2167.6,2323.16,2166.35,2303.65,2299.77,1230841,6.277,2163.65,2136.02
2/1/2023,LT,1942.33,1981.78,1930.89,1971.7,1968.78,3439614,1.512,1946.43,1839.44
2/1/2023,RELIANCE,1463.28,1483.07,1450.73,1463.47,1460.62,280746,0.013,1496.38,1414.22
2/1/2023,SBIN,2044.57,2060.4,2023.84,2033.02,2022.98,4973075,-0.565,2012.64,1978.27
2/1/2023,TATAMOTORS,3076.7,3122.06,3056.61,3078.78,3068.33,3687977,0.068,3047.54,3043.4
2/1/2023,TCS,2424.95,2459.59,2417.37,2452.91,2448.99,3535584,1.153,2373.26,2445.53
2/1/2023,WIPRO,2858.53,2884.38,2850.47,2868.64,2858.45,3054192,0.354,2833.9,2805.33
2/2/2023,HDFCBANK,2571.08,2610.4,2545.78,2569.71,2567.36,2578137,-0.053,2566.85,2632.49
2/2/2023,ICICIBANK,3250.27,3304.72,3247.87,3254.18,3247.11,647821,0.12,3296.92,3346.28
2/2/2023,INFY,3213.49,3214.46,3132.54,3139.41,3134.17,4668107,-2.305,3204.83,3156.44
2/2/2023,ITC,2303.65,2378.03,2284.68,2366.19,2356.1,3261999,2.715,2217,2151.05
2/2/2023,LT,1971.7,2044.58,1951.72,2011.77,2002.53,2914827,2.032,1957.19,1854.3
2/2/2023,RELIANCE,1463.47,1471.19,1435.11,1435.15,1434.49,1465367,-1.935,1477.14,1420.03
2/2/2023,SBIN,2033.02,2070.96,1966.2,1986.8,1981.89,4579623,-2.274,2013.02,1981.2
2/2/2023,TATAMOTORS,3078.78,3099.22,3032.29,3063.62,3053.85,2839153,-0.493,3045.5,3037.64
2/2/2023,TCS,2452.91,2457.41,2388.23,2389.06,2380.14,2956337,-2.603,2386.23,2441
2/2/2023,WIPRO,2868.64,2879.62,2802.2,2866.03,2858.66,416111,-0.091,2841.99,2811.31
2/3/2023,HDFCBANK,2569.71,2608.24,2537.64,2587.49,2579.09,3280494,0.692,2578.06,2629.44
2/3/2023,ICICIBANK,3254.18,3294.77,3193.55,3228.25,3212.27,355706,-0.797,3265.85,3341.07
2/3/2023,INFY,3139.41,3192.46,2994.29,3013.33,3005.85,3453733,-4.016,3162.15,3159.1
2/3/2023,ITC,2366.19,2404.31,2363.31,2399.31,2397.55,3541522,1.4,2276.01,2163.04
2/3/2023,LT,2011.77,2044.43,1980.62,1998.28,1990.8,213810,-0.67,1968.19,1868.56
2/3/2023,RELIANCE,1435.15,1439.99,1415.52,1419.37,1417.05,1286070,-1.099,1450.47,1421.65
2/3/2023,SBIN,1986.8,2026.9,1913.67,1922.75,1916.09,2797413,-3.224,2002.4,1979.8
2/3/2023,TATAMOTORS,3063.62,3083.92,2967.86,2983.09,2979.84,878304,-2.629,3042.85,3032
