Country,Region,Year,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Choices,Generosity,Perceptions of Corruption
New Zealand,Oceania,2016,6.857,1.629,1.387,1.279,0.784,0.594,0.206
Finland,Europe,2023,6.727,1.615,1.59,1.281,0.557,0.451,0.377
United States,North America,2023,7.332,1.789,1.668,1.264,0.837,0.234,0.005
Switzerland,Europe,2017,3.438,0.886,1.004,0.806,0.644,0.379,0.224
Germany,Europe,2021,4.578,1.225,1.15,0.945,0.774,0.055,0.247
United States,North America,2026,5.638,1.401,1.381,1.016,0.37,0.086,0.381
Finland,Europe,2019,3.485,0.838,0.938,0.637,0.793,0.424,0.041
Norway,Europe,2020,7.736,1.845,1.604,1.423,0.868,0.592,0.377
Germany,Europe,2016,3.401,0.992,0.88,0.695,0.844,0.067,0.246
Germany,Europe,2023,5.743,1.499,1.364,1.126,0.747,0.409,0.119
India,South Asia,2019,5.293,1.235,1.211,0.981,0.781,0.587,0.278
Norway,Europe,2015,7.438,1.916,1.515,1.355,0.345,0.1,0.108
Netherlands,Europe,2022,6.345,1.542,1.463,1.235,0.875,0.035,0.197
Germany,Europe,2018,4.611,1.107,1.124,0.869,0.438,0.16,0.18
Australia,Oceania,2020,6.351,1.581,1.336,1.215,0.711,0.098,0.455
Denmark,Europe,2022,5.0,1.295,1.276,0.867,0.826,0.331,0.082
Finland,Europe,2015,6.732,1.651,1.607,1.185,0.75,0.236,0.415
Canada,North America,2019,3.305,0.786,0.735,0.598,0.345,0.415,0.267
Norway,Europe,2015,7.383,1.821,1.647,1.359,0.527,0.145,0.103
Switzerland,Europe,2024,4.319,1.052,1.141,0.899,0.328,0.161,0.011
Denmark,Europe,2015,5.286,1.421,1.144,1.056,0.881,0.053,0.396
India,South Asia,2020,3.138,0.929,0.851,0.712,0.428,0.082,0.007
Denmark,Europe,2026,5.832,1.431,1.281,1.156,0.509,0.308,0.392
United States,North America,2022,5.986,1.583,1.462,1.027,0.856,0.295,0.129
Netherlands,Europe,2021,7.704,1.868,1.585,1.382,0.444,0.046,0.064
India,South Asia,2016,4.921,1.307,1.04,0.978,0.547,0.525,0.258
Canada,North America,2023,3.923,0.923,0.857,0.744,0.406,0.053,0.06
Germany,Europe,2022,3.99,1.019,0.969,0.837,0.324,0.48,0.314
United States,North America,2022,3.753,0.97,0.776,0.837,0.351,0.358,0.493
Norway,Europe,2017,4.133,1.149,1.003,0.864,0.337,0.089,0.067
India,South Asia,2021,7.053,1.789,1.379,1.331,0.512,0.238,0.052
Netherlands,Europe,2023,3.875,1.043,1.05,0.699,0.621,0.14,0.171
Iceland,Europe,2026,4.705,1.247,1.091,0.923,0.742,0.335,0.293
Switzerland,Europe,2023,4.818,1.194,1.237,0.944,0.447,0.299,0.165
Finland,Europe,2022,3.036,0.774,0.756,0.653,0.81,0.053,0.403
Sweden,Europe,2025,7.043,1.612,1.373,1.296,0.898,0.538,0.288
Iceland,Europe,2024,3.025,0.959,0.792,0.698,0.793,0.431,0.268
Switzerland,Europe,2015,7.025,1.647,1.655,1.296,0.42,0.442,0.265
Austria,Europe,2022,6.685,1.543,1.455,1.289,0.492,0.356,0.185
Austria,Europe,2023,5.633,1.427,1.175,1.082,0.353,0.083,0.001
Australia,Oceania,2019,5.271,1.361,1.287,0.912,0.81,0.448,0.204
Luxembourg,Europe,2025,7.756,1.808,1.61,1.449,0.733,0.029,0.391
New Zealand,Oceania,2023,6.602,1.702,1.536,1.128,0.441,0.38,0.454
Canada,North America,2015,5.824,1.502,1.284,1.116,0.84,0.374,0.27
New Zealand,Oceania,2017,4.706,1.183,1.107,0.819,0.437,0.326,0.216
Sweden,Europe,2020,6.507,1.655,1.321,1.252,0.597,0.445,0.287
New Zealand,Oceania,2015,4.496,1.101,1.133,0.781,0.642,0.457,0.438
Norway,Europe,2018,6.942,1.605,1.604,1.167,0.538,0.478,0.075
Germany,Europe,2024,6.705,1.528,1.486,1.219,0.73,0.359,0.413
Luxembourg,Europe,2023,5.8,1.426,1.283,1.159,0.392,0.352,0.253
Finland,Europe,2024,3.087,0.947,0.935,0.676,0.718,0.553,0.354
Finland,Europe,2019,5.766,1.47,1.265,1.112,0.861,0.555,0.225
Netherlands,Europe,2023,3.794,0.931,1.034,0.736,0.487,0.136,0.304
Netherlands,Europe,2016,4.609,1.265,0.931,0.858,0.539,0.322,0.46
Sweden,Europe,2021,4.665,1.261,1.075,0.845,0.571,0.085,0.088
Iceland,Europe,2021,5.011,1.381,1.111,0.968,0.679,0.008,0.332
Finland,Europe,2021,7.613,1.762,1.595,1.259,0.898,0.301,0.298
Switzerland,Europe,2016,4.008,1.156,0.883,0.739,0.322,0.283,0.282
Finland,Europe,2015,6.723,1.642,1.467,1.197,0.54,0.336,0.078
Luxembourg,Europe,2026,7.137,1.857,1.497,1.225,0.686,0.245,0.013
Denmark,Europe,2023,7.162,1.728,1.555,1.225,0.418,0.303,0.298
India,South Asia,2025,5.733,1.533,1.299,1.104,0.783,0.593,0.302
Iceland,Europe,2019,7.533,1.743,1.578,1.295,0.352,0.38,0.368
Switzerland,Europe,2016,3.589,1.059,0.939,0.779,0.846,0.375,0.168
Switzerland,Europe,2018,5.833,1.4,1.337,1.057,0.631,0.262,0.147
Austria,Europe,2017,6.665,1.551,1.56,1.197,0.837,0.48,0.213
Finland,Europe,2024,4.29,1.129,1.062,0.795,0.384,0.501,0.492
Canada,North America,2015,3.824,0.959,0.794,0.856,0.371,0.346,0.137
Netherlands,Europe,2022,6.127,1.605,1.265,1.021,0.382,0.54,0.437
Denmark,Europe,2016,5.882,1.51,1.211,1.165,0.551,0.23,0.259
Germany,Europe,2018,7.601,1.768,1.495,1.394,0.341,0.502,0.219
Finland,Europe,2024,6.463,1.625,1.548,1.149,0.872,0.081,0.242
Iceland,Europe,2016,5.591,1.321,1.359,1.108,0.873,0.093,0.312
Netherlands,Europe,2016,4.653,1.162,1.061,0.939,0.659,0.276,0.038
Netherlands,Europe,2015,3.011,0.954,0.644,0.572,0.489,0.484,0.481
Austria,Europe,2019,6.315,1.57,1.263,1.239,0.755,0.383,0.38
Norway,Europe,2024,6.059,1.628,1.462,1.138,0.716,0.031,0.335
Sweden,Europe,2022,7.797,1.904,1.645,1.332,0.372,0.439,0.096
Denmark,Europe,2022,5.024,1.354,1.228,0.865,0.573,0.313,0.322
Switzerland,Europe,2022,5.691,1.422,1.39,1.06,0.565,0.243,0.286
Finland,Europe,2017,5.584,1.444,1.327,1.042,0.556,0.526,0.209
Austria,Europe,2015,7.754,1.756,1.551,1.34,0.86,0.042,0.005
Canada,North America,2018,3.18,0.87,0.847,0.631,0.539,0.055,0.168
Netherlands,Europe,2015,6.515,1.484,1.413,1.137,0.812,0.429,0.295
Netherlands,Europe,2025,7.741,1.86,1.609,1.397,0.431,0.57,0.393
Germany,Europe,2025,5.004,1.371,1.284,0.944,0.668,0.1,0.496
Luxembourg,Europe,2015,7.525,1.868,1.637,1.331,0.438,0.106,0.11
Austria,Europe,2025,6.742,1.621,1.331,1.305,0.83,0.557,0.497
Austria,Europe,2023,5.473,1.377,1.384,1.1,0.578,0.374,0.374
New Zealand,Oceania,2016,7.296,1.87,1.55,1.273,0.464,0.286,0.022
Germany,Europe,2025,3.17,0.83,0.95,0.723,0.469,0.152,0.003
Netherlands,Europe,2017,3.234,0.895,0.971,0.607,0.837,0.595,0.031
Austria,Europe,2026,5.742,1.479,1.297,1.134,0.74,0.313,0.434
Finland,Europe,2026,3.755,0.916,0.876,0.711,0.858,0.064,0.349
Sweden,Europe,2021,7.232,1.881,1.541,1.361,0.303,0.492,0.114
India,South Asia,2023,3.005,0.85,0.868,0.603,0.416,0.05,0.163
Finland,Europe,2023,3.556,0.927,0.743,0.797,0.377,0.17,0.009
Denmark,Europe,2025,4.641,1.229,1.215,0.817,0.862,0.413,0.034
Finland,Europe,2026,6.701,1.701,1.448,1.117,0.345,0.511,0.495
Iceland,Europe,2025,6.108,1.542,1.315,1.029,0.793,0.223,0.409
Austria,Europe,2025,3.005,0.751,0.781,0.74,0.361,0.513,0.264
Iceland,Europe,2019,7.032,1.79,1.435,1.181,0.821,0.578,0.016
India,South Asia,2016,5.015,1.313,1.122,0.907,0.89,0.246,0.447
Canada,North America,2023,3.962,1.139,1.028,0.807,0.583,0.326,0.08
Finland,Europe,2022,3.438,0.845,0.855,0.722,0.311,0.478,0.147
Germany,Europe,2023,7.644,1.778,1.615,1.247,0.659,0.364,0.124
Norway,Europe,2015,4.083,0.988,1.03,0.778,0.654,0.26,0.492
Luxembourg,Europe,2026,5.23,1.371,1.16,1.079,0.733,0.394,0.379
Norway,Europe,2020,7.358,1.85,1.649,1.233,0.362,0.343,0.009
Norway,Europe,2015,4.01,1.019,1.054,0.89,0.343,0.321,0.441
Canada,North America,2021,3.377,0.892,0.748,0.72,0.714,0.48,0.1
Germany,Europe,2016,3.502,0.98,0.942,0.632,0.862,0.031,0.271
Germany,Europe,2018,7.181,1.808,1.633,1.245,0.789,0.048,0.447
Norway,Europe,2021,6.923,1.686,1.539,1.244,0.739,0.049,0.03
Germany,Europe,2021,3.766,1.096,0.844,0.86,0.502,0.109,0.395
Switzerland,Europe,2017,3.776,0.886,0.976,0.733,0.625,0.296,0.041
Switzerland,Europe,2022,4.059,1.048,0.892,0.877,0.405,0.576,0.208
Iceland,Europe,2024,6.018,1.558,1.414,1.104,0.626,0.308,0.294
Netherlands,Europe,2026,4.898,1.279,1.161,0.993,0.693,0.595,0.142
Switzerland,Europe,2026,5.99,1.526,1.398,1.025,0.729,0.545,0.09
United States,North America,2022,7.663,1.781,1.736,1.348,0.448,0.522,0.223
Sweden,Europe,2015,4.724,1.238,0.999,0.887,0.882,0.155,0.328
Luxembourg,Europe,2024,5.874,1.441,1.228,1.028,0.83,0.265,0.165
Germany,Europe,2023,6.979,1.693,1.431,1.27,0.724,0.1,0.084
Australia,Oceania,2026,6.535,1.654,1.419,1.249,0.783,0.351,0.434
Australia,Oceania,2020,3.537,0.896,0.754,0.737,0.862,0.024,0.061
Netherlands,Europe,2025,7.483,1.775,1.599,1.231,0.389,0.592,0.483
United States,North America,2018,7.569,1.875,1.723,1.326,0.609,0.293,0.333
Sweden,Europe,2022,3.144,0.819,0.877,0.612,0.704,0.582,0.047
Canada,North America,2016,5.13,1.396,1.077,1.008,0.803,0.567,0.342
Denmark,Europe,2017,5.966,1.58,1.345,1.001,0.859,0.414,0.338
India,South Asia,2023,6.163,1.504,1.405,1.046,0.695,0.6,0.024
Finland,Europe,2018,4.953,1.357,1.226,0.956,0.743,0.527,0.202
Norway,Europe,2021,5.103,1.398,1.282,0.929,0.821,0.225,0.148
New Zealand,Oceania,2015,4.576,1.214,1.107,0.899,0.528,0.329,0.298
Switzerland,Europe,2024,4.091,0.968,1.017,0.847,0.672,0.278,0.19
Luxembourg,Europe,2026,5.492,1.378,1.096,0.992,0.528,0.239,0.29
Iceland,Europe,2021,5.918,1.543,1.409,1.131,0.873,0.011,0.098
India,South Asia,2018,3.342,1.024,0.898,0.677,0.418,0.288,0.097
Netherlands,Europe,2015,4.367,1.088,1.127,0.863,0.487,0.366,0.358
Canada,North America,2022,4.985,1.177,1.052,0.984,0.409,0.315,0.355
Finland,Europe,2024,5.723,1.373,1.419,1.055,0.784,0.33,0.022
India,South Asia,2024,7.567,1.865,1.708,1.412,0.437,0.127,0.305
New Zealand,Oceania,2026,7.031,1.822,1.472,1.202,0.768,0.165,0.411
Sweden,Europe,2016,6.204,1.439,1.404,1.121,0.652,0.101,0.368
Finland,Europe,2023,4.04,0.963,0.834,0.834,0.664,0.328,0.116
United States,North America,2025,3.681,0.928,0.942,0.787,0.566,0.267,0.362
Sweden,Europe,2019,4.637,1.275,1.116,0.863,0.843,0.464,0.132
Finland,Europe,2026,5.86,1.439,1.265,1.048,0.67,0.265,0.416
Netherlands,Europe,2020,3.336,0.944,0.782,0.719,0.708,0.138,0.228
Norway,Europe,2024,3.251,0.86,0.794,0.787,0.568,0.2,0.29
Iceland,Europe,2026,7.616,1.884,1.697,1.276,0.546,0.254,0.411
Finland,Europe,2018,4.444,1.273,1.042,0.843,0.372,0.584,0.01
Luxembourg,Europe,2019,6.689,1.583,1.506,1.122,0.454,0.473,0.432
Germany,Europe,2025,6.754,1.713,1.327,1.174,0.458,0.216,0.044
New Zealand,Oceania,2025,5.658,1.371,1.238,1.038,0.66,0.309,0.46
India,South Asia,2022,7.762,1.971,1.56,1.45,0.37,0.49,0.19
Austria,Europe,2016,7.167,1.828,1.627,1.236,0.349,0.242,0.087
Switzerland,Europe,2015,4.661,1.319,1.131,0.964,0.38,0.517,0.461
United States,North America,2019,7.312,1.866,1.511,1.387,0.795,0.4,0.061
Denmark,Europe,2018,5.429,1.303,1.101,1.07,0.373,0.357,0.468
Denmark,Europe,2019,4.333,1.216,0.88,0.754,0.662,0.219,0.193
Switzerland,Europe,2023,3.921,0.965,0.951,0.839,0.672,0.178,0.215
Switzerland,Europe,2022,3.358,0.984,0.784,0.639,0.715,0.371,0.317
Finland,Europe,2017,4.117,1.011,0.893,0.849,0.809,0.435,0.396
Sweden,Europe,2019,5.522,1.385,1.147,1.006,0.878,0.149,0.067
Norway,Europe,2019,6.794,1.69,1.527,1.157,0.671,0.194,0.417
Netherlands,Europe,2021,6.847,1.796,1.479,1.149,0.629,0.273,0.422
Netherlands,Europe,2020,5.344,1.263,1.159,1.049,0.586,0.226,0.197
Austria,Europe,2015,6.768,1.762,1.605,1.273,0.489,0.413,0.219
Austria,Europe,2015,7.466,1.756,1.678,1.385,0.597,0.232,0.225
India,South Asia,2022,7.269,1.762,1.673,1.212,0.893,0.266,0.024
New Zealand,Oceania,2018,6.582,1.663,1.525,1.108,0.321,0.305,0.194
Australia,Oceania,2022,7.66,1.971,1.714,1.32,0.547,0.33,0.415
Austria,Europe,2016,3.101,0.753,0.948,0.624,0.762,0.375,0.191
Switzerland,Europe,2019,3.583,0.992,0.977,0.766,0.618,0.025,0.484
Iceland,Europe,2025,4.406,1.264,1.074,0.877,0.749,0.487,0.328
Austria,Europe,2020,4.624,1.299,1.0,0.868,0.559,0.264,0.306
Iceland,Europe,2021,4.155,0.995,0.907,0.901,0.687,0.172,0.408
Sweden,Europe,2021,7.063,1.834,1.447,1.31,0.576,0.505,0.364
Sweden,Europe,2019,6.15,1.447,1.37,1.219,0.862,0.026,0.082
India,South Asia,2015,3.441,1.048,0.866,0.646,0.505,0.248,0.379
Luxembourg,Europe,2022,5.937,1.383,1.214,1.009,0.646,0.526,0.217
Austria,Europe,2016,5.679,1.502,1.345,1.128,0.467,0.116,0.44
Australia,Oceania,2018,4.492,1.224,1.153,0.897,0.713,0.225,0.269
Norway,Europe,2017,7.071,1.816,1.623,1.163,0.75,0.455,0.339
India,South Asia,2017,4.467,1.252,1.203,0.844,0.569,0.433,0.443
Austria,Europe,2018,4.879,1.227,1.187,0.833,0.672,0.213,0.397
Finland,Europe,2022,5.823,1.451,1.341,0.986,0.648,0.337,0.28
Denmark,Europe,2026,5.877,1.493,1.165,1.046,0.682,0.089,0.348
United States,North America,2015,7.713,1.799,1.736,1.361,0.524,0.073,0.368
Denmark,Europe,2020,4.783,1.118,1.201,0.971,0.74,0.18,0.087
Iceland,Europe,2019,5.382,1.279,1.274,1.105,0.748,0.444,0.475
New Zealand,Oceania,2025,5.715,1.552,1.178,1.097,0.651,0.352,0.349
Canada,North America,2019,6.756,1.55,1.572,1.159,0.526,0.277,0.24
Austria,Europe,2018,7.499,1.876,1.639,1.235,0.842,0.546,0.39
Norway,Europe,2022,3.275,0.827,0.729,0.671,0.854,0.283,0.007
Germany,Europe,2024,3.214,0.766,0.761,0.637,0.772,0.585,0.186
New Zealand,Oceania,2018,6.728,1.547,1.457,1.116,0.338,0.544,0.07
Denmark,Europe,2021,4.973,1.231,1.265,0.85,0.698,0.578,0.28
Netherlands,Europe,2024,3.251,0.87,0.763,0.734,0.889,0.154,0.327
Netherlands,Europe,2018,5.714,1.423,1.42,1.079,0.51,0.068,0.076
India,South Asia,2023,4.205,1.188,1.025,0.835,0.369,0.516,0.361
Sweden,Europe,2023,6.398,1.593,1.276,1.151,0.591,0.099,0.473
Denmark,Europe,2025,3.468,1.029,0.862,0.77,0.474,0.472,0.056
Austria,Europe,2018,7.695,1.941,1.634,1.322,0.823,0.327,0.379
Norway,Europe,2026,3.086,0.761,0.853,0.595,0.453,0.568,0.28
Austria,Europe,2021,5.678,1.437,1.15,1.02,0.469,0.234,0.399
Iceland,Europe,2026,5.168,1.286,1.058,0.963,0.417,0.112,0.047
Germany,Europe,2026,6.636,1.579,1.388,1.224,0.418,0.538,0.26
Iceland,Europe,2026,5.678,1.341,1.306,1.024,0.838,0.101,0.254
Finland,Europe,2017,3.16,0.836,0.889,0.738,0.488,0.479,0.484
New Zealand,Oceania,2018,6.857,1.685,1.624,1.212,0.89,0.401,0.317
Germany,Europe,2016,7.233,1.748,1.451,1.188,0.636,0.316,0.36
Austria,Europe,2026,3.381,0.977,0.765,0.779,0.791,0.324,0.355
New Zealand,Oceania,2024,5.262,1.413,1.185,0.961,0.597,0.497,0.168
Netherlands,Europe,2025,3.542,0.851,0.953,0.715,0.843,0.444,0.096
New Zealand,Oceania,2016,5.09,1.314,1.238,1.025,0.806,0.152,0.016
Denmark,Europe,2017,4.512,1.044,1.117,0.81,0.693,0.595,0.036
Iceland,Europe,2018,7.159,1.679,1.497,1.187,0.758,0.245,0.38
Germany,Europe,2025,4.117,1.158,0.859,0.897,0.69,0.525,0.0
Australia,Oceania,2025,4.871,1.216,1.045,0.907,0.377,0.248,0.401
Iceland,Europe,2017,3.086,0.834,0.664,0.756,0.376,0.425,0.486
Austria,Europe,2017,6.357,1.658,1.539,1.178,0.636,0.377,0.266
India,South Asia,2018,5.159,1.24,1.065,0.888,0.458,0.028,0.284
New Zealand,Oceania,2016,6.958,1.599,1.42,1.29,0.659,0.039,0.439
New Zealand,Oceania,2026,4.586,1.144,1.222,0.913,0.619,0.503,0.143
Switzerland,Europe,2019,4.285,1.19,1.043,0.875,0.451,0.132,0.244
Canada,North America,2022,5.521,1.273,1.354,0.941,0.873,0.015,0.347
Germany,Europe,2020,7.371,1.788,1.468,1.274,0.399,0.102,0.474
Iceland,Europe,2026,6.786,1.703,1.524,1.144,0.441,0.472,0.485
Denmark,Europe,2026,4.304,1.115,1.17,0.799,0.544,0.535,0.001
Norway,Europe,2017,3.219,0.793,0.762,0.777,0.499,0.289,0.098
Canada,North America,2015,5.277,1.359,1.211,1.062,0.33,0.5,0.422
Austria,Europe,2015,5.222,1.308,1.105,0.963,0.327,0.167,0.408
New Zealand,Oceania,2025,6.927,1.707,1.611,1.254,0.318,0.405,0.022
Canada,North America,2015,7.461,1.733,1.56,1.365,0.829,0.403,0.129
Canada,North America,2015,6.448,1.707,1.477,1.24,0.301,0.431,0.415
India,South Asia,2022,7.184,1.695,1.593,1.338,0.698,0.055,0.298
Iceland,Europe,2017,7.322,1.762,1.514,1.348,0.548,0.388,0.323
Australia,Oceania,2019,5.874,1.468,1.199,1.004,0.393,0.103,0.319
Denmark,Europe,2021,5.544,1.477,1.395,1.096,0.717,0.319,0.224
Canada,North America,2019,4.917,1.359,1.227,0.881,0.58,0.49,0.034
Norway,Europe,2017,7.089,1.711,1.399,1.272,0.817,0.354,0.113
Switzerland,Europe,2018,7.116,1.845,1.51,1.231,0.649,0.223,0.301
Germany,Europe,2018,6.304,1.531,1.285,1.132,0.386,0.534,0.173
Switzerland,Europe,2020,3.122,0.898,0.853,0.636,0.343,0.246,0.156
Netherlands,Europe,2022,5.549,1.481,1.273,1.044,0.363,0.1,0.486
Luxembourg,Europe,2016,5.426,1.485,1.192,0.922,0.319,0.233,0.08
Norway,Europe,2021,6.63,1.623,1.38,1.274,0.37,0.574,0.157
Norway,Europe,2020,5.894,1.553,1.456,1.042,0.877,0.234,0.193
Iceland,Europe,2016,7.705,1.864,1.646,1.289,0.448,0.503,0.178
Canada,North America,2026,3.934,0.93,0.911,0.744,0.88,0.335,0.174
India,South Asia,2022,3.668,0.968,0.948,0.748,0.541,0.596,0.44
Norway,Europe,2017,5.733,1.466,1.192,1.039,0.324,0.285,0.272
India,South Asia,2026,7.627,1.955,1.69,1.351,0.822,0.078,0.395
Netherlands,Europe,2026,6.812,1.618,1.589,1.311,0.389,0.278,0.49
Iceland,Europe,2025,7.145,1.769,1.499,1.229,0.422,0.457,0.193
New Zealand,Oceania,2021,4.739,1.274,1.221,0.902,0.566,0.361,0.296
Canada,North America,2020,5.287,1.462,1.07,0.894,0.684,0.179,0.12
Switzerland,Europe,2025,5.152,1.311,1.215,1.058,0.311,0.286,0.344
Switzerland,Europe,2023,6.324,1.475,1.328,1.12,0.783,0.167,0.105
United States,North America,2023,3.043,0.969,0.851,0.722,0.477,0.009,0.369
Netherlands,Europe,2016,6.554,1.528,1.506,1.237,0.695,0.46,0.423
India,South Asia,2017,3.425,0.925,0.74,0.695,0.544,0.04,0.174
United States,North America,2021,6.88,1.8,1.36,1.323,0.614,0.18,0.038
Denmark,Europe,2021,6.814,1.726,1.342,1.137,0.542,0.177,0.116
Switzerland,Europe,2023,6.857,1.791,1.456,1.31,0.493,0.286,0.113
United States,North America,2024,7.699,1.895,1.593,1.384,0.374,0.533,0.252
Austria,Europe,2020,6.943,1.716,1.541,1.247,0.578,0.141,0.152
United States,North America,2016,5.497,1.295,1.322,0.979,0.598,0.171,0.067
India,South Asia,2020,3.261,0.955,0.782,0.589,0.607,0.028,0.138
Finland,Europe,2015,3.301,0.986,0.695,0.645,0.745,0.19,0.051
Australia,Oceania,2022,4.298,1.206,0.968,0.902,0.835,0.26,0.455
Germany,Europe,2021,6.241,1.452,1.236,1.149,0.858,0.507,0.338
Netherlands,Europe,2019,6.423,1.63,1.546,1.216,0.87,0.422,0.149
Iceland,Europe,2016,6.753,1.697,1.33,1.185,0.874,0.3,0.216
United States,North America,2023,6.7,1.525,1.564,1.142,0.631,0.249,0.36
New Zealand,Oceania,2022,7.175,1.811,1.586,1.335,0.752,0.022,0.197
Sweden,Europe,2019,3.603,1.027,1.041,0.651,0.709,0.281,0.29
Germany,Europe,2019,3.206,0.922,0.924,0.737,0.626,0.06,0.344
Norway,Europe,2020,4.619,1.071,0.969,0.876,0.596,0.243,0.265
Iceland,Europe,2015,3.048,0.837,0.938,0.661,0.707,0.187,0.387
Luxembourg,Europe,2021,3.631,1.063,0.926,0.66,0.53,0.221,0.091
Netherlands,Europe,2021,4.641,1.256,1.002,0.924,0.642,0.341,0.332
Iceland,Europe,2018,7.066,1.61,1.641,1.317,0.768,0.275,0.199
Luxembourg,Europe,2024,3.315,0.836,0.771,0.694,0.748,0.284,0.029
Luxembourg,Europe,2025,7.525,1.902,1.752,1.338,0.878,0.045,0.183
Austria,Europe,2022,3.94,0.952,0.996,0.847,0.647,0.088,0.406
Iceland,Europe,2023,4.863,1.288,1.053,0.899,0.85,0.174,0.235
United States,North America,2025,3.299,0.813,0.696,0.721,0.569,0.081,0.479
Denmark,Europe,2024,4.161,1.091,1.053,0.739,0.465,0.484,0.23
United States,North America,2025,5.078,1.178,1.064,0.951,0.426,0.03,0.422
Canada,North America,2025,5.531,1.365,1.293,0.951,0.682,0.299,0.203
Austria,Europe,2020,5.508,1.317,1.229,1.11,0.406,0.128,0.007
Iceland,Europe,2022,6.981,1.769,1.463,1.287,0.537,0.572,0.484
Canada,North America,2016,7.1,1.805,1.471,1.211,0.575,0.469,0.48
Norway,Europe,2019,7.105,1.764,1.63,1.323,0.526,0.331,0.402
Luxembourg,Europe,2026,6.879,1.608,1.493,1.293,0.452,0.147,0.201
Canada,North America,2021,3.002,0.936,0.687,0.748,0.873,0.297,0.256
Finland,Europe,2018,6.05,1.404,1.199,1.019,0.567,0.165,0.311
Canada,North America,2024,5.708,1.395,1.324,1.004,0.415,0.551,0.051
Australia,Oceania,2019,4.06,0.953,0.842,0.744,0.82,0.169,0.475
Australia,Oceania,2024,5.704,1.412,1.225,1.124,0.386,0.258,0.452
